symbol,event_date,surprise_pct,reaction_2session,pre_dd52,pre_mom63,entry_date,entry_open,ret_4w,ret_8w,ret_13w,strong_beat,underreaction,near_consensus
INTC,2010-01-14,33.36,-0.007632631710785209,-0.008981684603305284,0.030740023541026007,2010-01-19,13.534462707838477,-0.0007065450653566119,0.06150501206667158,0.14783278326983296,True,True,False
JPM,2010-01-15,22.31,-0.03155142435922009,-0.05743166055780902,-0.05123581269463939,2010-01-20,29.114995161290324,-0.06905359764453489,0.018135151175009634,0.04138433930813945,True,True,False
C,2010-01-19,-1.34,0.011694438867697388,-0.3701650298350947,-0.27999822092745275,2010-01-21,26.128422018348626,-0.005799126263431487,0.16521388006592685,0.40869203559833944,False,False,True
IBM,2010-01-19,3.49,-0.011609810756972094,-0.008949437506622138,0.034312668840894345,2010-01-21,73.15988939534884,-0.01600589346193415,-0.011618243307553233,0.0007765266612715926,False,False,True
BAC,2010-01-20,-14.37,-0.05208349523617095,-0.14501215135586276,-0.05386606276285988,2010-01-22,12.032049127516778,0.04062906220730422,0.10289609520059662,0.18354736164038687,False,False,False
MS,2010-01-20,-20.29,-0.058407976114310145,-0.1278417209734436,-0.05408483615686244,2010-01-22,20.694162949640287,-0.04152682820424125,0.03610375796198606,0.08190894478238242,False,False,False
PGR,2010-01-20,10.98,-0.019193221587769482,-0.0279940398823586,0.05354058721934374,2010-01-22,10.655720189461219,-0.003718208507427323,0.05146342065936982,0.19728181419571156,True,True,False
SBUX,2010-01-20,18.8,0.004076577738789222,-0.017509202712414518,0.14244110642110974,2010-01-22,9.710063116542994,-0.011427641119443055,0.05670785831648084,0.15912737794922904,True,True,False
WFC,2010-01-20,942.11,-0.009899215653200621,-0.10145925085509633,-0.05626249863199051,2010-01-22,18.76329383712399,-0.019751001095061005,0.08804990089785036,0.17185714783701722,True,True,False
AMD,2010-01-21,967.28,-0.11161217587373162,-0.11653386454183268,0.5110732538330491,2010-01-25,8.01,-0.013732833957552981,0.1622971285892636,0.19600499375780278,True,True,False
AXP,2010-01-21,2.8,-0.10213993456899573,-0.006242774566474041,0.2078142655859827,2010-01-25,31.505557025668168,-0.004347075201894923,0.050640049723037484,0.1762020258778172,False,False,True
FCX,2010-01-21,22.29,-0.11122906423369183,-0.07600254312373866,0.059090529364261624,2010-01-25,27.40630916890081,0.013427230526785738,0.060748451053322494,0.014032930473381944,True,True,False
GOOGL,2010-01-21,4.79,-0.05237561569538984,-0.0779968887747543,0.0512949185084981,2010-01-25,13.612974980740741,-0.006940068638516039,0.019960737432022535,-0.03207785082676917,False,False,True
GS,2010-01-21,57.82,-0.08147061751129137,-0.13146402507918842,-0.09353927792510264,2010-01-25,119.65745575558137,0.0037143046508232302,0.1308037526419541,-0.01759318499869722,True,True,False
ISRG,2010-01-21,14.28,0.10149043320721307,-0.02588207145990351,0.1686477544268119,2010-01-25,37.856733549958875,0.018431765887046092,0.02080915008162343,0.050159278732678336,True,False,False
UNH,2010-01-21,10.43,-0.04023212097633344,-0.04214028278347681,0.3864375337120849,2010-01-25,26.71477696969697,-0.014302083454799885,-0.007747658531147339,-0.11122222630072265,True,True,False
UNP,2010-01-21,4.1,0.0018869237056746702,-0.07180351696861453,-0.002056595423424401,2010-01-25,23.307251231372547,0.03514995228286333,0.15054322510174556,0.182726342388023,False,False,True
