kind,horizon,signal_n,matched_n,win_rate,median_return,mean_return,median_matched_excess,mean_matched_excess,beat_matched,mean_excess_ci95_lo,mean_excess_ci95_hi,split
strong_beat,4w,666,643,0.56006006006006,0.008044860870351056,0.005905197714678021,-0.004003196175461521,-0.00043477960231699694,0.4758942457231726,-0.005829631001472178,0.00497969662813438,discovery
strong_beat,8w,666,643,0.6036036036036037,0.027629836503525795,0.02489011293070517,0.0033267522387012693,0.00651125769638069,0.5116640746500778,-0.001419966797695755,0.014839207303821659,discovery
strong_beat,13w,666,643,0.6141141141141141,0.04268272203428303,0.04268432067367217,-0.01015950441365332,-0.002544098952536679,0.4727838258164852,-0.014732038126946678,0.00992283765087894,discovery
underreaction,4w,401,343,0.5461346633416458,0.0048878368591041,0.0071778744316699766,0.001191386528146765,-0.0011163507932233786,0.5043731778425656,-0.009484377992388127,0.007136223842489206,discovery
underreaction,8w,401,343,0.6034912718204489,0.02770006624762633,0.026640462813830288,-0.0057107981800454954,-0.0059398672881380635,0.4839650145772595,-0.018916648669485628,0.006535456737095017,discovery
underreaction,13w,401,343,0.6309226932668329,0.046315667149443795,0.04649432635460044,0.006596748346195724,-0.003346570535980248,0.5247813411078717,-0.021270582891332643,0.01442391312321543,discovery
strong_beat,4w,1065,1056,0.5765258215962441,0.00993857662032438,0.01775968691739641,0.003073681418130192,-0.0004402025387782111,0.5151515151515151,-0.006449403541621915,0.005335733256640991,validation
strong_beat,8w,1065,1056,0.5887323943661972,0.02289184769913577,0.026830630693606625,-0.003939532358609388,0.0013344154485653722,0.48011363636363635,-0.005759906865527553,0.008557076785855192,validation
strong_beat,13w,1057,1048,0.6234626300851467,0.03595755460130401,0.047448884819372164,-0.005440420109729338,-0.0006902980354560928,0.4866412213740458,-0.010659427447274395,0.009550721124797611,validation
underreaction,4w,661,620,0.5658093797276853,0.009624887140758709,0.017481229612499396,-0.009914703792030632,-0.00688648655327228,0.45645161290322583,-0.014298322648449664,0.0006938053585286139,validation
underreaction,8w,661,620,0.5930408472012103,0.021466248181687186,0.029778218636108383,0.006053468749681934,0.005981451824715074,0.5290322580645161,-0.003399788928715233,0.01559083621760315,validation
underreaction,13w,657,617,0.624048706240487,0.03595755460130401,0.05013274012259257,0.00497967166145552,-0.0015098676993078545,0.5218800648298217,-0.015572379323632804,0.011899676976437741,validation
