strategy,horizon_weeks,n,unique_signal_weeks,mean_return,median_return,win_rate,q10_return,q25_return,q75_return,q90_return,median_maxdd,q10_maxdd,cluster_week_mean_return,cluster_boot95_low,cluster_boot95_high,matched_n,mean_matched_excess,median_matched_excess,pct_outperform_matched,spy_n,mean_spy_excess,median_spy_excess
EMA_confirm_next_close,13,9556,1051,0.020374514095928217,0.029415643121265767,0.5851820845542067,-0.16582876192650964,-0.0654245839649055,0.11359181736802154,0.20095357621641863,-0.08617690310928422,-0.2541005203670832,0.016170862327327225,0.009336809279328074,0.0232411505398756,9523,-0.002267234682508868,-0.003463701563372168,0.4877664601491127,9556,-0.006148838183801056,-0.00550488970868851
EMA_confirm_next_close,26,9433,1038,0.04464037367031851,0.05047318611987395,0.604367645499841,-0.23374599951944325,-0.08480046948356801,0.18019387895634797,0.30917529823124595,-0.1113412079877939,-0.3544087169463378,0.03770947609556458,0.028180883258305003,0.04790275611735886,9400,-0.0009688624374742542,-0.004545097576145296,0.48904255319148937,9433,-0.012268003089547327,-0.015870851459290902
EMA_confirm_next_close,52,9200,1012,0.10515884773796491,0.09577622425963506,0.6307608695652174,-0.304112326045251,-0.10098803822169619,0.29132318903130394,0.4968210671374024,-0.14404261120190748,-0.5109299207094998,0.08726037688799783,0.07079329505152657,0.10384640573426486,9167,0.007746625380991899,-0.006543490037276611,0.48892767535725973,9200,-0.021693006009818206,-0.034911214693715165
EMA_confirm_next_close,104,8605,971,0.2720873511563743,0.19558721347452823,0.6921557234166182,-0.3465641576150097,-0.07499530351418326,0.4945276036383357,0.8305310701574994,-0.19644977693355192,-0.6243091840827599,0.2542628121942105,0.21549779143905778,0.2985083859817739,8560,0.06124664940094041,-0.010980722524983055,0.4893691588785047,8593,0.009388040132439079,-0.05560756454021876
EMA_fresh26_rising_reject,13,2313,597,0.0281347270285373,0.04219815224846579,0.6247297881539127,-0.18032199421967154,-0.05737071819140316,0.12649707215835182,0.20884945274039032,-0.09724785475577702,-0.3161395399431847,0.006668201820795998,-0.008855466855670137,0.02006259140924256,2305,0.0021843160939377542,0.0018635991953339093,0.5110629067245119,2313,-0.0022403265517711283,0.0015705169149691223
EMA_fresh26_rising_reject,26,2293,592,0.04768597653321933,0.06392133773351216,0.6279982555604012,-0.2313165558066194,-0.0755396338824943,0.19128903257716057,0.3225526307948038,-0.1237289979729923,-0.40497281020966663,0.024128291017033277,0.005617038110460952,0.04304536202752833,2285,-0.0013743054354790124,-0.000342046098382065,0.49803063457330415,2293,-0.012713245188238683,-0.004098665423243664
EMA_fresh26_rising_reject,52,2253,578,0.10030560653929685,0.11117562675046111,0.640479360852197,-0.3375940038141559,-0.10534375498484605,0.3114852873512852,0.5201537637258855,-0.16773819900563425,-0.5328656779917981,0.05083723412373925,0.025343448927651672,0.07559207835386073,2245,0.00817008997402743,0.01638158313694238,0.5242761692650334,2253,-0.02622424306896572,-0.021095267841598098
EMA_fresh26_rising_reject,104,2148,544,0.2523155027259888,0.22379874764200958,0.6964618249534451,-0.37285309802734096,-0.07417768980377537,0.5505739549705745,0.8655910141641184,-0.2187882722395198,-0.6565112615217499,0.15363309939298522,0.1177166302331947,0.18854335157610302,2139,0.03771920729236162,0.020978029402506038,0.5320243104254324,2147,-0.0348677328666258,-0.044535603204665986
EMA_reject_close,13,9203,1065,0.028040147984026854,0.034647085268994404,0.6007823535803543,-0.16582680336242686,-0.06343664771472773,0.12011796613971948,0.20889423639062585,-0.08628006840130276,-0.26951550427502324,0.024347083572467537,0.015845055241176874,0.03520237919343918,9162,0.0006307824002839217,-0.001558747313565978,0.49356035800043657,9203,-0.0005024208875702862,-0.003535819754353575
EMA_reject_close,26,9104,1052,0.05054202830573068,0.05445850733139235,0.6069859402460457,-0.24242944936167038,-0.0845877481380487,0.18587086311895096,0.3207025509699485,-0.11202408394624763,-0.37739132815361376,0.044771782077431765,0.033055290189936075,0.057826802008835436,9063,0.001667608429640861,-0.0038010645830868217,0.4902350215160543,9104,-0.007594472186421426,-0.013700208012016879
EMA_reject_close,52,8862,1026,0.10766655439088564,0.09647500681290011,0.6293161814488829,-0.30614097748375396,-0.09738057384204479,0.29463231745828083,0.5044552391430769,-0.1498804683230805,-0.5174703083052736,0.09140939557787184,0.07703732608664508,0.10598294053756405,8821,0.010720957315843962,-0.0054000860573962806,0.492121074708083,8862,-0.020579546366064082,-0.03443514401356029
EMA_reject_close,104,8304,982,0.27180098162284616,0.19865570090091833,0.691233140655106,-0.3404189333665855,-0.07769483105814931,0.5052346093970947,0.8499943144738745,-0.20200603190459027,-0.630054208994983,0.24907958318423337,0.21453522376848894,0.2867884292413147,8254,0.05808874790728853,-0.007320530088882282,0.4943057911315726,8295,0.005515865861508661,-0.05531949912831169
EMA_touch_limit,13,17733,1086,0.058694049167610333,0.037956343567632445,0.5992781819207128,-0.1786270789274119,-0.0658989980632182,0.1320194152152745,0.2274224238406238,-0.08649965323226161,-0.2825813047732444,0.07010641745375648,0.054629580169483744,0.08776459545445411,17570,0.0029248596614552444,-0.000421204364912664,0.4983494593056346,17733,0.026016871076793787,-0.001167238254290881
EMA_touch_limit,26,17549,1073,0.0852158367278594,0.057823704394190045,0.6071001196649382,-0.25192028059742755,-0.08730432971235702,0.1966172746963304,0.3372960645977439,-0.114461020886784,-0.3888354757576829,0.09845075474052188,0.07821364312140201,0.12140153263823127,17386,0.003410483668810196,-0.0008917713761800172,0.4975842632002761,17549,0.022925714132108498,-0.012718563817498696
EMA_touch_limit,52,17084,1047,0.1776061092935802,0.10156011905176376,0.6303558885506907,-0.3148290224825142,-0.1041147174654796,0.30531648101346165,0.5265660559970897,-0.1544678205496453,-0.5193299707954534,0.1866570988031462,0.15574944392946552,0.22404360484008493,16921,0.007965432024071557,-0.0034556987218061774,0.49411973287630756,17084,0.045989868714757624,-0.036271942192944606
EMA_touch_limit,104,15966,1008,0.534573055822739,0.20569610779869196,0.6893398471752474,-0.3559850416503525,-0.0782052960557661,0.5157392939481138,0.8730349165712772,-0.21032861336553416,-0.6440992211054204,0.6346816938921376,0.5009386756715188,0.7899915273759333,15788,0.022718355928894134,-0.011283843041237529,0.48777552571573346,15951,0.2625582816248572,-0.05325562770369685
EMA_touch_limit_fresh26,13,4450,735,0.04177885054212967,0.048456941016058686,0.6175280898876404,-0.1789225084108997,-0.06017953519783423,0.1455689220804764,0.23818535279226186,-0.09466957325581649,-0.32704998805837904,0.025477482407408655,0.007919235308905719,0.04801402373184727,4428,0.004789679539765127,0.003770008952020343,0.5140018066847335,4450,0.003125713309031803,0.005240767203296914
EMA_touch_limit_fresh26,26,4414,729,0.06339353829866577,0.06768380384209427,0.6270956048935206,-0.23473807885533607,-0.07670694964975175,0.20858543717295835,0.3519438117637145,-0.12402883639984424,-0.41058666879115585,0.04427748340763125,0.024949769745374342,0.0681832694276308,4392,0.004824919463149885,0.004913455136086764,0.51183970856102,4414,-0.00616223657136274,-0.00819397152586987
EMA_touch_limit_fresh26,52,4339,712,0.11695029499207531,0.11992377793504683,0.6432357686102789,-0.3320124584009636,-0.10000835163142652,0.3333941432810855,0.5395709892430545,-0.1697712135337477,-0.5317358944382204,0.07157276615742544,0.048017242880866874,0.09541606854979372,4317,0.013345070231399034,0.016184758316919234,0.5272179754459115,4339,-0.020459012862950172,-0.020451453386500784
EMA_touch_limit_fresh26,104,4116,674,0.2688952358067297,0.243942437558751,0.6999514091350826,-0.37079103141303943,-0.07226585124682022,0.5611446972736649,0.9084777891464741,-0.22902985407773213,-0.6542033826502971,0.1702704070532845,0.13783020437370536,0.20110765128544414,4093,0.04233581344007569,0.027573002178467698,0.5284632299047154,4115,-0.031133337704458097,-0.04031643580360944
EMA_touch_limit_rising,13,12125,1050,0.07086746969554211,0.03761063230006956,0.5961237113402061,-0.18361041067323688,-0.06826418660510447,0.13294463088426034,0.22899480825265373,-0.09000212691333542,-0.3001999049705218,0.10365385351436303,0.07522837500391368,0.13661059525004424,11978,0.002099074053181676,-0.00127863510343329,0.49474035732175653,12125,0.03843064105091443,-0.0005329432916791887
EMA_touch_limit_rising,26,12020,1037,0.09844510239383142,0.05616938700181262,0.6032445923460898,-0.25588489923826746,-0.09100342495319247,0.19555788480939873,0.34168815889961995,-0.11970780431924083,-0.4070426270795475,0.1315521861312492,0.0996747904572359,0.1683877682066937,11873,0.002280260644207972,-0.0012384978872130858,0.496757348606081,12020,0.036031733204765125,-0.01393611766952596
EMA_touch_limit_rising,52,11730,1011,0.19575944925181163,0.10147287733186472,0.6263427109974424,-0.33243724618323817,-0.1132063487292575,0.30740572900695234,0.5231710226714446,-0.16219855975721642,-0.5410328055518943,0.23596639662989585,0.18224197221797464,0.29491566517611484,11583,0.007127995231312211,-0.001389997852700331,0.4981438314771648,11730,0.06525473028602374,-0.03529288809755782
EMA_touch_limit_rising,104,10971,970,0.6474978874716636,0.21131707484613726,0.6872664296782426,-0.36316292354828594,-0.08276466886100475,0.5296412182890189,0.892727730698547,-0.22303869097305018,-0.6673098151444942,0.969287576980758,0.7107278088431818,1.2601709481003465,10813,0.03118291801267068,-0.0018361030532467737,0.49828909645796726,10960,0.3679836563519565,-0.04815499435066117
SMA_fresh26_rising_reject,13,1813,548,0.03165821965582894,0.038884041109171985,0.619415333701048,-0.18993733665497547,-0.058651026392961936,0.1283103179985603,0.21553794420627573,-0.09796786724010065,-0.3122337614208695,0.01586420673675588,0.0003599375573160626,0.031215475520686674,1801,0.0038290870091609295,0.000806821888445719,0.5036091060521932,1813,-0.0005828471088659293,-0.0015787884592211032
SMA_fresh26_rising_reject,26,1790,541,0.049678832929424425,0.058325567574877724,0.6067039106145251,-0.22164039463488866,-0.0843005511860139,0.19103405088333275,0.32787721041421725,-0.13196150829590753,-0.3921853808627367,0.02546329003249402,0.008475776486037319,0.043386866060829976,1778,0.002515080318792298,-0.0004983765828425468,0.49887514060742405,1790,-0.009955783355742423,-0.010215573784987664
SMA_fresh26_rising_reject,52,1761,527,0.09225475367466059,0.09624359420866702,0.6149914821124361,-0.332434674408959,-0.1094962052916264,0.296328124768489,0.49960594896192934,-0.17646642629822218,-0.5411009174311927,0.049504752222682954,0.026332784806974215,0.07254707096291263,1749,0.00037918016091168487,0.0029537577092400014,0.505431675242996,1761,-0.03353217417741867,-0.029496776264574365
SMA_fresh26_rising_reject,104,1682,495,0.23455362941430072,0.23126304306934586,0.6825208085612366,-0.3912094623461095,-0.08872726389455887,0.5360197713907058,0.8222951034233814,-0.22918523642615607,-0.6846492529048537,0.1557985902240757,0.11629682219478955,0.19303986147950625,1668,0.025496465610724897,0.02291251812429118,0.526378896882494,1680,-0.045352344437907643,-0.0486711429012619
SMA_reject_close,13,8193,1064,0.025670992559689763,0.031279548831554704,0.5925790308800195,-0.17225924653909797,-0.06593595486304216,0.11737034209397912,0.20324767591997067,-0.08900659951372003,-0.2669924615142899,0.024148397484399946,0.014511935733263677,0.0365725295972397,8152,-0.000603613385007165,-0.00015769764541584408,0.49950932286555444,8193,-0.0015718678314945236,-0.003686320587885872
SMA_reject_close,26,8076,1051,0.04630058320984203,0.04899093701541746,0.5975730559683011,-0.24474523123820868,-0.09098043140162232,0.17928605780386836,0.30865909246123746,-0.11758265034530263,-0.37267853961819125,0.04429401489697046,0.03194647019892561,0.059118548169052015,8035,-0.00011796577656624305,-0.005426020583109481,0.4861232109520846,8076,-0.00934865696522054,-0.017136952608131972
SMA_reject_close,52,7850,1025,0.10070442162731322,0.08828549281163067,0.6196178343949045,-0.31056559573499914,-0.10875618956400804,0.2811796548187714,0.49682810631293467,-0.15573142480676344,-0.5102571540327665,0.09473468923675737,0.07991725604268034,0.11109602711678315,7809,0.006294046930992024,-0.008219319387317237,0.4854654885388654,7850,-0.023885201776151502,-0.038167570603459655
SMA_reject_close,104,7328,984,0.2659042918174015,0.19520595293622522,0.6844978165938864,-0.36531098044790267,-0.08140392217581385,0.4939823784854146,0.8249676834486903,-0.20971223395591282,-0.6431711354977784,0.2826386729955084,0.23422560815195106,0.34072258405720707,7276,0.05733973004387494,-0.0048225089338498894,0.4932655305112699,7317,0.007471379257076828,-0.05255309374800532
SMA_touch_limit,13,15846,1087,0.07404773164442069,0.03682349807662988,0.595418402120409,-0.17676008726450293,-0.06842898278746298,0.13061458984131324,0.2249216667314169,-0.08738184462964294,-0.28327046555277996,0.1097125602276646,0.08148252151408185,0.144685645457205,15685,0.0036308386792059557,0.000867850423862393,0.5025820847943896,15846,0.042546569131783236,-0.0012710305419117995
SMA_touch_limit,26,15656,1074,0.10485552043700203,0.05386201583646388,0.6014307613694431,-0.24827490854108858,-0.09043792990702329,0.19245233049578658,0.335420878780194,-0.11701757316554684,-0.38767508740971474,0.1457374113153147,0.10753296046988493,0.1971775518514806,15495,0.003629178821423038,-0.0031868734500501428,0.4927395934172314,15656,0.04424842884810213,-0.014963731933050672
SMA_touch_limit,52,15210,1048,0.21295955004014994,0.09796057410415282,0.6269559500328731,-0.31192318691299215,-0.10815295738067446,0.30532166760698154,0.535463112240081,-0.1604540544850243,-0.5184615659234724,0.27253332806006064,0.21106559948878045,0.35022625336654634,15049,0.006583001237491322,-0.007895399785126767,0.48661040600704364,15210,0.08161768768062817,-0.03643902683404382
SMA_touch_limit,104,14142,1011,0.7149497106605204,0.20039311754330125,0.6895064347334182,-0.3647397620523753,-0.077490958830648,0.5096253284422522,0.8524574577019329,-0.2125702881207931,-0.6510747566993748,1.1398353406024113,0.7804844681823606,1.5820639455304546,13965,0.01955555343933649,-0.009878558578214514,0.48793412101682776,14126,0.449366617495976,-0.05076856994161871
