scope,league,match_id,match_date,live_timer,event_round,home,away,home_score,away_score,market,family,game_type,sub_partai,line,selection,price,secondary,choice_id,raw_price,odds_format
live,ENGLISH PREMIER LEAGUE,14260733,202608221930,,,Hull City,Manchester United,2,0,ft_asian_handicap,asian_handicap,0,37,1.25,home,1.78,1.77,,1.7800|1.7700,decimal
live,ENGLISH PREMIER LEAGUE,14260733,202608221930,,,Hull City,Manchester United,2,0,ft_asian_handicap,asian_handicap,0,37,1.25,away,2.16,2.14,,2.1600|2.1400,decimal
live,ENGLISH PREMIER LEAGUE,14260733,202608221930,,,Hull City,Manchester United,2,0,ft_asian_handicap,asian_handicap,0,33,1.0,home,2.13,2.12,,2.1300|2.1200,decimal
live,ENGLISH PREMIER LEAGUE,14260733,202608221930,,,Hull City,Manchester United,2,0,ft_asian_handicap,asian_handicap,0,33,1.0,away,1.8,1.79,,1.8000|1.7900,decimal
live,ENGLISH PREMIER LEAGUE,14260733,202608221930,,,Hull City,Manchester United,2,0,ft_asian_handicap,asian_handicap,0,1,1.5,home,1.58,1.57,,1.5800|1.5700,decimal
live,ENGLISH PREMIER LEAGUE,14260733,202608221930,,,Hull City,Manchester United,2,0,ft_asian_handicap,asian_handicap,0,1,1.5,away,2.51,2.49,,2.5100|2.4900,decimal
live,ENGLISH PREMIER LEAGUE,14260733,202608221930,,,Hull City,Manchester United,2,0,ft_asian_handicap,asian_handicap,0,35,0.75,home,2.56,2.53,,2.5600|2.5300,decimal
live,ENGLISH PREMIER LEAGUE,14260733,202608221930,,,Hull City,Manchester United,2,0,ft_asian_handicap,asian_handicap,0,35,0.75,away,1.56,1.55,,1.5600|1.5500,decimal
live,ENGLISH PREMIER LEAGUE,14260733,202608221930,,,Hull City,Manchester United,2,0,ft_over_under,over_under,5,34,3.75,over,1.91,1.9,,1.9100|1.9000,decimal
live,ENGLISH PREMIER LEAGUE,14260733,202608221930,,,Hull City,Manchester United,2,0,ft_over_under,over_under,5,34,3.75,under,1.99,1.98,,1.9900|1.9800,decimal
live,ENGLISH PREMIER LEAGUE,14260733,202608221930,,,Hull City,Manchester United,2,0,ft_over_under,over_under,5,36,3.5,over,1.7,1.69,,1.7000|1.6900,decimal
live,ENGLISH PREMIER LEAGUE,14260733,202608221930,,,Hull City,Manchester United,2,0,ft_over_under,over_under,5,36,3.5,under,2.25,2.23,,2.2500|2.2300,decimal
live,ENGLISH PREMIER LEAGUE,14260733,202608221930,,,Hull City,Manchester United,2,0,ft_over_under,over_under,5,3,4.0,over,2.38,2.37,,2.3800|2.3700,decimal
live,ENGLISH PREMIER LEAGUE,14260733,202608221930,,,Hull City,Manchester United,2,0,ft_over_under,over_under,5,3,4.0,under,1.62,1.61,,1.6200|1.6100,decimal
live,ENGLISH PREMIER LEAGUE,14260733,202608221930,,,Hull City,Manchester United,2,0,ft_over_under,over_under,5,39,4.25,over,2.69,2.66,,2.6900|2.6600,decimal
live,ENGLISH PREMIER LEAGUE,14260733,202608221930,,,Hull City,Manchester United,2,0,ft_over_under,over_under,5,39,4.25,under,1.49,1.48,,1.4900|1.4800,decimal
live,ENGLISH PREMIER LEAGUE,14260733,202608221930,,,Hull City,Manchester United,2,0,ft_odd_even,odd_even,63,7,,odd,1.58,1.57,,1.5800|1.5700,decimal
live,ENGLISH PREMIER LEAGUE,14260733,202608221930,,,Hull City,Manchester United,2,0,ft_odd_even,odd_even,63,7,,even,2.38,2.37,,2.3800|2.3700,decimal
live,ENGLISH PREMIER LEAGUE,14260733,202608221930,,,Hull City,Manchester United,2,0,ft_1x2,1x2,1,9,,home,1.58,1.58,,1.5800|1.5800,decimal
live,ENGLISH PREMIER LEAGUE,14260733,202608221930,,,Hull City,Manchester United,2,0,ft_1x2,1x2,1,9,,draw,4.5,4.5,,4.5000|4.5000,decimal
live,ENGLISH PREMIER LEAGUE,14260733,202608221930,,,Hull City,Manchester United,2,0,ft_1x2,1x2,1,9,,away,5.1,5.1,,5.1000|5.1000,decimal
live,ENGLISH PREMIER LEAGUE,14260733,202608221930,,,Hull City,Manchester United,2,0,fh_odd_even,odd_even,64,8,,odd,5.16,5.0,,5.1600|5.0000,decimal
live,ENGLISH PREMIER LEAGUE,14260733,202608221930,,,Hull City,Manchester United,2,0,fh_odd_even,odd_even,64,8,,even,1.17,1.16,,1.1700|1.1600,decimal
live,ENGLISH PREMIER LEAGUE,14260733,202608221930,,,Hull City,Manchester United,2,0,ft_total_goals,total_goals,7,12,,2-3,2.25,2.25,,2.2500|2.2500,decimal
live,ENGLISH PREMIER LEAGUE,14260733,202608221930,,,Hull City,Manchester United,2,0,ft_total_goals,total_goals,7,12,,4-6,1.22,1.22,,1.2200|1.2200,decimal
live,ENGLISH PREMIER LEAGUE,14260733,202608221930,,,Hull City,Manchester United,2,0,ft_total_goals,total_goals,7,12,,7+,16.8,16.8,,16.8000|16.8000,decimal
live,ENGLISH PREMIER LEAGUE,14260733,202608221930,,,Hull City,Manchester United,2,0,double_chance,double_chance,15,11,,1X,1.17,1.17,,1.1700|1.1700,decimal
live,ENGLISH PREMIER LEAGUE,14260733,202608221930,,,Hull City,Manchester United,2,0,double_chance,double_chance,15,11,,12,1.21,1.21,,1.2100|1.2100,decimal
live,ENGLISH PREMIER LEAGUE,14260733,202608221930,,,Hull City,Manchester United,2,0,double_chance,double_chance,15,11,,X2,2.4,2.4,,2.4000|2.4000,decimal
live,ENGLISH PREMIER LEAGUE,14260733,202608221930,,,Hull City,Manchester United,2,0,correct_score,correct_score,1001,,,2-0,6.8,6.8,CSL2-0,2-0|6.8000|6.8000|CSL2-0|||,decimal
live,ENGLISH PREMIER LEAGUE,14260733,202608221930,,,Hull City,Manchester United,2,0,correct_score,correct_score,1001,,,2-1,3.5,3.5,CSL2-1,2-1|3.5000|3.5000|CSL2-1|||,decimal
live,ENGLISH PREMIER LEAGUE,14260733,202608221930,,,Hull City,Manchester United,2,0,correct_score,correct_score,1001,,,2-2,4.33,4.33,CSL2-2,2-2|4.3300|4.3300|CSL2-2|||,decimal
live,ENGLISH PREMIER LEAGUE,14260733,202608221930,,,Hull City,Manchester United,2,0,correct_score,correct_score,1001,,,2-3,8.5,8.5,CSL2-3,2-3|8.5000|8.5000|CSL2-3|||,decimal
live,ENGLISH PREMIER LEAGUE,14260733,202608221930,,,Hull City,Manchester United,2,0,correct_score,correct_score,1001,,,2-4,21.0,21.0,CSL2-4,2-4|21.0000|21.0000|CSL2-4|||,decimal
