name	issuer	category	suffix	sourceUrl	nearest	score
Infini Corporate Card	Infini	U卡	VIRTUAL	https://www.infini.money/products/corporate-cards	Firstrade	0.48
N26 Virtual Mastercard	N26	借记卡	Mastercard	https://github.com/HarukaKinen/Cardentify/tree/main/Cards/N26	ONFA P2P	0.364
YPT Card	YPT	U卡	VISA	https://card.lengziyu.cn	Zypto	0.75
1inch Debit Card	1inch	借记卡	Mastercard	https://1inch.io/	Picnic Card	0.545
Coinbase	Coinbase	U卡	VISA	https://www.coinbase.com/	CoinsBee	0.75
Spritz Card	Spritz	U卡	VISA	https://card.lengziyu.cn	Privé	0.6
X Card	X	U卡	VISA	https://card.lengziyu.cn	HPX	0.5
Bit.store Card	Bit.store	U卡	Mastercard	https://card.lengziyu.cn	Bridge (Stripe)	0.636
Wavecard	Wavecard	U卡	crypto	https://card.lengziyu.cn	NexasCard	0.588
Pengu Card	Pengu	U卡	VISA	https://card.lengziyu.cn	Peanut	0.727
Vpay Card	Vpay	U卡	VISA	https://card.lengziyu.cn	UPay Card	0.75
Swissborg Card	Swissborg	U卡	Mastercard	https://card.lengziyu.cn	Swissquote	0.632
Xhype Card	Xhype	U卡	VISA	https://card.lengziyu.cn	HyperPay	0.615
Meru Card	Meru	U卡	VISA	https://card.lengziyu.cn	Mercuryo Card	0.667
MEXC Ether.fi Card	MEXC Ether.fi	U卡	VISA	https://card.lengziyu.cn	Ether.fi Cash	0.615
Cardano Card	Cardano	U卡	VISA	https://card.lengziyu.cn	Solcard	0.571
Satpay Card	Satpay	U卡	Mastercard	https://card.lengziyu.cn	BitPay Card	0.667
Veil Card	Veil	U卡	NOMAD	https://card.lengziyu.cn	Vexl	0.75
Zeal Card	Zeal	U卡	VISA	https://card.lengziyu.cn	KazePay	0.545
Stables Card	Stables	U卡	VISA	https://card.lengziyu.cn	StarryBlu	0.625
Arq Card	Arq	U卡	Mastercard	https://card.lengziyu.cn	Airtm Card	0.5
Ku Card	Ku	U卡	VISA	https://card.lengziyu.cn	KuCoin	0.5
Axiome Pay Card	Axiome Pay	U卡	virtual	https://card.lengziyu.cn	Airtm Card	0.545
Uglycash Card	Uglycash	U卡	VISA	https://card.lengziyu.cn	SuperCash	0.588
Morse Card	Morse	U卡	crypto	https://card.lengziyu.cn	Moreta Pay	0.727
Rebind Card	Rebind	U卡	VISA	https://card.lengziyu.cn	Bing Card	0.6
Zen Card	Zen	U卡	Mastercard	https://card.lengziyu.cn	Zentro	0.667
Biptap Card	Biptap	U卡	VISA	https://card.lengziyu.cn	BIT	0.667
Eversend Card	Eversend	U卡	Mastercard	https://card.lengziyu.cn	Neverless	0.588
Bitwala Card	Bitwala	U卡	VISA	https://card.lengziyu.cn	Orbital	0.714
Xportal Card	Xportal	U卡	Mastercard	https://card.lengziyu.cn	Orbital	0.714
Gomining Card	Gomining	U卡	VISA	https://card.lengziyu.cn	Goblin Cards	0.571
Karma Card	Karma	U卡	VISA	https://card.lengziyu.cn	Kardpay Card	0.667
Revuto Card	Revuto	U卡	BASIC	https://card.lengziyu.cn	Remitano	0.571
Revolut Card	Revolut	U卡	STANDARD	https://card.lengziyu.cn	RedotPay	0.533
Simple Card	Simple	U卡	Mastercard	https://card.lengziyu.cn	Triple-A	0.571
Trocador Card	Trocador	U卡	Mastercard	https://card.lengziyu.cn	Solcard	0.533
Cryptomus Card	Cryptomus	U卡	Mastercard	https://card.lengziyu.cn	Crypto.com Prepaid Visa Card	0.737
Naka Card	Naka	U卡	VISA	https://card.lengziyu.cn	Anomapay	0.5
Amp Black Card	Amp	U卡	VISA	https://card.lengziyu.cn	Xapo Bank	0.667
Keytom Card	Keytom	U卡	VISA	https://card.lengziyu.cn	Zypto	0.545
Sana Card	Sana	U卡	VISA	https://card.lengziyu.cn	Hana Wallet	0.75
Og Card	Og	U卡	crypto	https://card.lengziyu.cn	Dogpay	0.5
Bitcoin Company Card	Bitcoin Company	U卡	crypto	https://card.lengziyu.cn	BitcoinVN	0.667
Hypurrfi Card	Hypurrfi	U卡	VISA	https://card.lengziyu.cn	GrabrFi	0.533
