symbol,series_id,week,prev_ema,close,roll52_high,dd52,entry,entry_dd,ret_13,ret_26,ret_52,source_index,control_13,control_n_13,excess_13,control_26,control_n_26,excess_26,control_52,control_n_52,excess_52
ALLE,ALLE#0,2025-04-11,115.74784160427797,123.70954895019531,153.1373274971049,-0.19216594038749912,115.74784160427797,-0.24415657830736137,0.2755333164331566,0.48536489120167614,0.24594547836993597,12349,0.1302784139179256,37,0.145254902515231,0.15552190823617962,37,0.3298429829654965,0.16059139377547238,37,0.08535408459446359
AME,AME#0,2025-04-11,148.6156277735921,157.68359375,196.11356804327468,-0.19595775385002767,148.6156277735921,-0.24219609455681113,0.2100875516036005,0.20074688968427834,0.5782884873179213,14145,0.1302784139179256,39,0.07980913768567488,0.15552190823617962,39,0.04522498144809872,0.16059139377547238,39,0.4176970935424489
AVB,AVB#0,2025-04-11,178.14495339997674,184.0380401611328,224.55849892714104,-0.18044500190195545,178.14495339997674,-0.20668799332428467,0.08983731297779052,0.005362640610969693,-0.055762039807442876,22177,0.1302784139179256,29,-0.04044110094013509,0.18024690980101643,29,-0.17488426919004674,0.0655227876414477,29,-0.12128482744889058
BEN,BEN#0,2025-10-17,21.286013119439886,21.446596145629883,24.76070198718689,-0.1338453911069235,21.286013119439886,-0.1403307898760333,0.19190273427009585,0.26839277949101814,,29372,0.030654427851845467,67,0.1612483064182504,0.028910821447168278,67,0.23948195804384986,,0,
BMY,BMY#0,2025-02-14,50.14184979715736,50.21757125854492,56.9256675950819,-0.11783957255016053,50.14184979715736,-0.1191697539004466,-0.12192773296717474,-0.07818647030657844,0.18561696976937214,34253,0.008693203483418954,96,-0.1306209364505937,0.03954302867226289,96,-0.11772949897884133,0.152137758964614,96,0.03347921080475813
CSX,CSX#0,2025-03-07,30.647093392124166,30.697052001953125,37.11697852851174,-0.17296468573343293,30.647093392124166,-0.17431066301416942,0.037001386460691066,0.050836545650059684,0.29956557552342056,60989,0.05263021817871938,66,-0.015628831718028313,0.12050996736985609,66,-0.0696734217197964,0.11375031284991977,66,0.1858152626735008
CVX,CVX#0,2025-04-11,130.41129115779069,128.61126708984375,160.21648359107357,-0.19726569821552808,130.41129115779069,-0.1860307489294034,0.14305041829422893,0.1080732580692183,0.43268817401358706,64052,0.13259510141909137,46,0.010455316875137566,0.1448450921793576,46,-0.03677183411013929,0.09364085165010216,46,0.3390473223634849
DPZ,DPZ#0,2025-10-10,402.53295507421416,400.2239685058594,487.75068978429164,-0.17944971296122836,402.53295507421416,-0.17471576462098937,-0.004857232831511071,-0.09646767177389837,,73159,0.02930679191843577,45,-0.03416402474994684,0.010231995607931088,45,-0.10669966738182945,,0,
EG,EG#0,2025-04-11,319.22482128026945,343.2961120605469,395.74051588567465,-0.1325222000778875,319.22482128026945,-0.19334814489277563,0.050164440733993176,0.07287905323233712,0.027200697205440827,79419,0.1302784139179256,39,-0.08011397318393243,0.15552190823617962,39,-0.0826428550038425,0.16059139377547238,39,-0.13339069657003155
EXPD,EXPD#0,2025-01-10,106.99948139385081,107.22439575195312,128.56340946037227,-0.16598045896563263,106.99948139385081,-0.1677299019762556,0.011839307233798113,0.0706860394066573,0.4773472882069716,89571,-0.030583590497201163,76,0.042422897730999276,0.08480101484928171,76,-0.014114975442624411,0.11679372403844401,76,0.3605535641685276
FDS,FDS#0,2025-04-11,400.805696858967,417.3141784667969,488.1618303043979,-0.14513148599394443,400.805696858967,-0.17894912715924383,0.09460527377531536,-0.30340978472070357,-0.47462680183691053,92723,0.1302784139179256,49,-0.03567314014261025,0.1340934996542078,49,-0.43750328437491137,0.0416802787557089,49,-0.5163070805926194
IEX,IEX#0,2026-03-13,188.90857949282713,186.90029907226562,215.68323630021203,-0.13345004332132282,188.90857949282713,-0.124138793847274,0.15281894613281022,,,122379,0.08733401810951813,71,0.06548492802329209,,0,,,0,
ITW,ITW#0,2025-04-11,217.89395479415532,225.222900390625,267.99239930450284,-0.15959220867783475,217.89395479415532,-0.18693979620453272,0.16248377562906913,0.10316430521917708,0.23404815123990197,129030,0.13392856689271682,45,0.02855520873635231,0.15552190823617962,45,-0.05235760301700254,0.12175891565875663,45,0.11228923558114534
KMB,KMB#0,2025-08-01,118.58290096740156,124.54230499267578,142.09199084945857,-0.12350932485263055,118.58290096740156,-0.16544978884111816,-0.028134264004246123,-0.17836583604834821,-0.07819764344740499,137094,0.009939963292937337,43,-0.03807422729718346,0.023658006839269996,43,-0.2020238428876182,0.04488146823382744,43,-0.12307911168123242
LIN,LIN#0,2025-12-12,388.0154298319865,413.5388488769531,479.9198416555789,-0.13831683338957468,388.0154298319865,-0.19149950438921182,0.26892651624743347,0.3493535748073944,,143232,-0.04659734213096478,33,0.31552385837839825,-0.01180008541535671,33,0.3611536602227511,,0,
MA,MA#0,2026-06-05,468.19650177396574,490.2581481933594,598.0433279933587,-0.18022971707025937,468.19650177396574,-0.21711942954881513,,,,150890,,0,,,0,,,0,
MAA,MAA#0,2025-08-01,133.5537972929559,133.65542602539062,162.2978633727784,-0.17648068035005238,133.5537972929559,-0.17710686685875154,-0.07287365993401385,-0.01796037620768598,-0.009088479546581096,151295,0.009939963292937337,35,-0.08281362322695118,0.021682294752797926,35,-0.039642670960483906,0.022749805807853685,35,-0.03183828535443478
MCD,MCD#0,2026-05-08,273.1546065153297,273.8924255371094,337.56211186521443,-0.18861621043989618,273.1546065153297,-0.1908019386239711,-0.017625952711761705,,,153580,0.09221009971534189,42,-0.10983605242710359,,0,,,0,
MET,MET#0,2026-03-13,67.50553323829368,67.03780364990234,82.1115846196275,-0.1835767880933331,67.50553323829368,-0.17788052013604017,0.3079371038594785,,,156266,0.11882270583571652,49,0.18911439802376195,,0,,,0,
MOS,MOS#0,2025-08-08,30.818142004122468,30.89725112915039,36.93564073000329,-0.1634840896626938,30.818142004122468,-0.165625899672332,-0.19259787933029748,-0.08899679617515588,-0.2630964228331871,161593,-0.0014730774347335718,33,-0.1911248018955639,0.07905441646049982,33,-0.1680512126356557,0.09116753856926718,29,-0.3542639614024543
