sheet_row,symbol,date,time_vn,day_class,v2513_exact_signal_bar,engine_side,one_bar_near,near_offsets,failed_gates
6,SOL,2025-12-08,00:15,cluster_other,False,,False,{},signal_range
18,ETH,2025-12-18,01:40,T0,False,,False,{},signal_range
25,XRP,2025-12-20,02:30,cluster_other,True,L,True,"{""0"":""L""}",
31,SOL,2025-11-12,02:50,T-1,True,S,True,"{""-10"":""S"",""0"":""S""}",
45,SOL,2025-12-04,04:20,T-1,False,,False,{},regime_side
47,SOL,2025-12-16,04:30,T0,True,L,True,"{""0"":""L""}",
51,XRP,2025-12-10,04:50,T-1,True,S,True,"{""0"":""S""}",
66,ETH,2025-12-11,07:20,T0,True,S,True,"{""0"":""S"",""5"":""S""}",
71,SOL,2025-12-11,07:35,T0,False,,True,"{""-5"":""S""}",signal_range
79,SOL,2025-11-15,08:50,cluster_other,False,,True,"{""-5"":""L""}",break_retest
98,XRP,2025-12-14,11:20,cluster_other,True,S,True,"{""0"":""S""}",
118,XRP,2023-08-18,14:00,normal,False,,False,{},"regime_side,signal_range,break_retest"
119,XRP,2025-11-23,14:00,normal,True,S,True,"{""0"":""S""}",
120,XRP,2025-12-07,14:05,cluster_other,False,,False,{},regime_side
121,SOL,2025-11-21,14:15,normal,True,S,True,"{""0"":""S""}",
122,ETH,2025-11-21,14:15,normal,False,,False,{},"signal_range,break_retest"
123,XRP,2025-12-29,14:15,normal,True,S,True,"{""0"":""S""}",
124,SOL,2026-01-01,14:15,normal,True,S,True,"{""0"":""S""}",
126,XRP,2025-11-10,14:35,normal,True,L,True,"{""0"":""L""}",
129,XRP,2023-08-11,15:25,normal,False,,False,{},"regime_side,break_retest"
130,XRP,2025-11-18,15:30,normal,False,,False,{},signal_range
132,XRP,2023-10-18,15:45,normal,False,,False,{},break_retest
134,ETH,2025-12-05,16:05,T0,True,S,True,"{""0"":""S""}",
135,XRP,2025-12-10,16:05,T-1,True,S,True,"{""0"":""S""}",
137,XRP,2025-11-26,16:20,T0,True,S,True,"{""0"":""S""}",
139,ETH,2025-12-29,16:30,normal,False,,False,{},signal_range
140,XRP,2025-11-20,16:35,normal,True,S,True,"{""-10"":""S"",""0"":""S""}",
141,ETH,2026-01-02,16:40,normal,True,L,True,"{""0"":""L""}",
145,XRP,2025-12-23,17:00,normal,False,,False,{},signal_range
147,ETH,2025-12-18,17:15,T0,True,L,True,"{""0"":""L""}",
149,SOL,2025-11-12,17:20,T-1,False,,False,{},break_retest
153,XRP,2023-10-16,17:35,normal,True,L,True,"{""0"":""L""}",
154,XRP,2023-10-25,17:35,normal,False,,False,{},break_retest
181,XRP,2023-08-31,21:00,normal,True,S,True,"{""0"":""S""}",
183,XRP,2023-10-22,21:05,normal,True,L,True,"{""0"":""L""}",
184,SOL,2025-11-13,21:05,T0,True,S,True,"{""0"":""S""}",
185,XRP,2026-01-01,21:05,normal,False,,False,{},signal_range
187,XRP,2025-12-07,21:15,cluster_other,False,,False,{},signal_range
188,XRP,2023-08-14,21:25,normal,False,,False,{},"regime_side,chop"
189,ETH,2026-01-03,21:35,normal,True,L,True,"{""0"":""L""}",
190,XRP,2023-08-27,21:45,normal,True,L,True,"{""0"":""L""}",
192,XRP,2025-11-20,22:55,normal,True,S,True,"{""0"":""S""}",
193,SOL,2025-11-24,22:55,normal,True,L,True,"{""0"":""L""}",
195,SOL,2025-11-17,23:00,normal,True,S,True,"{""0"":""S""}",
196,XRP,2025-11-15,23:10,cluster_other,True,S,True,"{""0"":""S""}",
198,ETH,2025-11-13,23:15,T0,True,S,True,"{""0"":""S""}",
200,SOL,2025-11-13,23:20,T0,True,S,True,"{""-5"":""S"",""0"":""S""}",
202,SOL,2025-12-23,23:50,normal,True,L,True,"{""0"":""L""}",
