row,symbol,date,time,old_R,bars_old,tag,line_test,status,setup_exact,canonical_r,canonical_r_rounded_2dp,r_delta,canonical_match_old,match_round_1dp,match_round_2dp,side,exit_reason,entry_time_utc,exit_time_utc,entry,stop,target,exit_price
2,ETH,2025-12-24,00:00,-1.0,2.0,,,NOT_CANONICAL_WR_SETUP,False,,,,,,,,,,,,,,
3,BTC,2025-12-19,00:00,2.3,,T+1,Ok,NOT_CANONICAL_WR_SETUP,False,,,,,,,,,,,,,,
4,SUI,2025-12-19,00:00,2.3,4.0,T+1,,CANONICAL_WR_TRADE,True,2.3,2.3,0.0,True,True,True,SHORT,TP,2025-12-18T17:05:00Z,2025-12-18T17:05:00Z,1.4080000000000001,1.4228,1.3739600000000003,1.3739000000000001
5,SOL,2025-12-22,00:10,-1.0,3.0,,,CANONICAL_WR_TRADE,True,-1.0,-1.0,0.0,True,True,True,LONG,SL,2025-12-21T17:15:00Z,2025-12-21T17:25:00Z,126.161,125.869,126.8326,125.869
6,SOL,2025-12-08,00:15,1.3,46.0,,,NOT_CANONICAL_WR_SETUP,False,,,,,,,,,,,,,,
7,BTC,2025-12-03,00:20,-0.2,,,,NOT_CANONICAL_WR_SETUP,False,,,,,,,,,,,,,,
8,SOL,2025-12-03,00:25,-1.0,2.0,,,NOT_CANONICAL_WR_SETUP,False,,,,,,,,,,,,,,
9,BTC,2025-11-26,00:30,-1.0,,,,NOT_CANONICAL_WR_SETUP,False,,,,,,,,,,,,,,
10,DASH,2025-12-18,00:50,-1.0,,,,NOT_CANONICAL_WR_SETUP,False,,,,,,,,,,,,,,
11,SUI,2025-11-30,00:55,-1.0,5.0,,,NOT_CANONICAL_WR_SETUP,False,,,,,,,,,,,,,,
12,SOL,2025-12-12,01:10,0.4,20.0,T+1,,CANONICAL_WR_TRADE,True,2.3,2.3,1.9,False,False,False,LONG,TP,2025-12-11T18:15:00Z,2025-12-11T18:40:00Z,133.501,132.729,135.27659999999997,135.27700000000002
13,XRP,2023-08-02,01:15,2.3,9.0,,,CANONICAL_WR_TRADE,True,-1.0,-1.0,-3.3,False,False,False,LONG,SL,2023-08-01T18:20:00Z,2023-08-01T18:35:00Z,0.6980000000000001,0.6962,0.7021400000000001,0.6962
