symbol,signal_vn,side,R,reason,mechanical_pass,fail_reasons,finalized_time_block,finalized_asset_whitelist,T_gate,volume_gate,session_allowed,sra_ok,side_predicate_ok,entry_match,stop_match,target_match,nextbar_fill,entry_time_match,exit_replay_match,signal_body_ratio,ema_distance_in_signal_ranges
1000PEPEUSDT,2026-09-11 02:24:59,L,-1.0,SL,True,[],True,False,True,True,True,True,True,True,True,True,True,True,True,0.7394366197183041,1.2396774595529765
AKEUSDT,2026-09-07 01:24:59,L,-1.0,SL,True,[],True,False,True,True,True,True,True,True,True,True,True,True,True,0.314393939393938,2.329605903008695
ARBUSDT,2026-09-07 04:34:59,L,2.3,TP,True,[],True,False,True,True,True,True,True,True,True,True,True,True,True,0.32812500000000205,1.4607928892398538
ARBUSDT,2026-09-09 05:09:59,S,-1.0,SL,True,[],True,False,True,True,True,True,True,True,True,True,True,True,True,0.8639999999999973,1.0943866329742304
ARBUSDT,2026-09-17 01:59:59,L,-1.0,SL,True,[],True,False,True,True,True,True,True,True,True,True,True,True,True,0.1524663677129945,1.4148446106790162
BNBUSDT,2026-09-07 21:39:59,S,-1.0,SL,True,[],True,False,True,True,True,True,True,True,True,True,True,True,True,0.5187969924812281,1.516468560266359
BNBUSDT,2026-09-11 00:44:59,L,-1.0,SL,True,[],True,False,True,True,True,True,True,True,True,True,True,True,True,0.3913043478260708,3.0988661922312217
BTCUSDT,2026-09-03 17:14:59,S,-1.0,SL,True,[],True,False,True,True,True,True,True,True,True,True,True,True,True,0.6718866517525107,1.2501972161858115
BTCUSDT,2026-09-07 04:14:59,L,-1.0,SL,True,[],True,False,True,True,True,True,True,True,True,True,True,True,True,0.5987361769351096,1.5537622356879943
BTCUSDT,2026-09-11 18:14:59,S,-1.0,SL,True,[],False,False,True,True,True,True,True,True,True,True,True,True,True,0.19567456230688837,2.3575372321103667
BTCUSDT,2026-09-15 05:04:59,S,-1.0,SL,True,[],True,False,True,True,True,True,True,True,True,True,True,True,True,0.38577291381661893,2.8465850351538258
BTRUSDT,2026-09-04 18:49:59,S,-1.0,SL,True,[],False,False,True,True,True,True,True,True,True,True,True,True,True,0.7727272727272799,1.7160624447437538
DOGEUSDT,2026-09-10 05:49:59,S,-1.0,SL,True,[],True,False,True,True,True,True,True,True,True,True,True,True,True,0.9499999999999514,2.564861539287515
