row,symbol,date,time,manual_side,exact,engine_side,near,failed_gates
2,ETH,2025-12-24,00:00,L,False,,{},break_retest
3,BTC,2025-12-19,00:00,S,False,,{},signal_range
4,SUI,2025-12-19,00:00,S,True,S,"{""0"":""S""}",
5,SOL,2025-12-22,00:10,L,True,L,"{""0"":""L""}",
6,SOL,2025-12-08,00:15,L,False,,{},signal_range
7,BTC,2025-12-03,00:20,L,False,,"{""-5"":""L""}",break_retest
8,SOL,2025-12-03,00:25,L,False,,{},break_retest
9,BTC,2025-11-26,00:30,L,False,,{},"signal_range,break_retest"
10,DASH,2025-12-18,00:50,S,False,,{},chop
11,SUI,2025-11-30,00:55,S,False,,{},"regime_side,break_retest"
12,SOL,2025-12-12,01:10,L,True,L,"{""0"":""L""}",
13,XRP,2023-08-02,01:15,L,True,L,"{""0"":""L""}",
14,SUI,2025-11-12,01:15,S,True,S,"{""0"":""S""}",
15,SUI,2025-11-18,01:15,S,True,S,"{""0"":""S""}",
16,DASH,2025-12-18,01:25,S,True,S,"{""0"":""S"",""5"":""S""}",
17,SUI,2025-12-18,01:40,S,False,,{},signal_range
18,ETH,2025-12-18,01:40,S,False,,{},signal_range
19,BTC,2025-12-18,01:40,S,False,,{},signal_range
20,XRP,2023-08-06,01:50,L,False,,{},signal_range
21,XRP,2025-12-19,02:00,S,False,,{},signal_range
22,SUI,2025-11-21,02:10,S,False,,{},break_retest
23,BTC,2025-12-12,02:10,L,True,L,"{""0"":""L""}",
24,XRP,2023-10-11,02:30,L,True,L,"{""0"":""L""}",
25,XRP,2025-12-20,02:30,L,True,L,"{""0"":""L""}",
26,BTC,2025-12-19,02:35,S,True,S,"{""0"":""S""}",
27,SUI,2025-12-19,02:40,S,True,S,"{""0"":""S""}",
28,ETH,2025-12-19,02:40,S,False,,"{""10"":""S""}",signal_range
29,SUI,2025-11-24,02:45,L,True,L,"{""-10"":""L"",""0"":""L""}",
30,SOL,2026-01-02,02:45,L,True,L,"{""0"":""L"",""5"":""L""}",
31,SOL,2025-11-12,02:50,S,True,S,"{""-10"":""S"",""0"":""S""}",
32,BTC,2025-12-27,02:55,L,True,L,"{""0"":""L""}",
33,BTC,2025-12-28,03:00,L,True,L,"{""0"":""L""}",
34,SOL,2026-01-01,03:05,S,True,S,"{""0"":""S""}",
35,SOL,2025-11-22,03:25,S,True,S,"{""0"":""S""}",
36,XRP,2025-12-31,03:35,S,True,S,"{""0"":""S"",""5"":""S""}",
37,BTC,2026-01-01,03:35,S,True,S,"{""0"":""S""}",
38,SUI,2025-12-24,03:40,L,False,,{},signal_range
39,XRP,2023-08-12,03:45,L,True,L,"{""0"":""L""}",
40,SUI,2025-11-26,03:45,L,False,,{},break_retest
41,XRP,2025-12-12,04:00,L,True,L,"{""0"":""L""}",
42,SOL,2025-12-28,04:10,L,False,,{},signal_range
43,SUI,2025-11-21,04:15,L,True,L,"{""0"":""L""}",
44,BTC,2025-11-20,04:15,L,True,L,"{""0"":""L""}",
45,SOL,2025-12-04,04:20,L,False,,{},regime_side
46,BTC,2025-12-02,04:20,L,False,,{},signal_range
47,SOL,2025-12-16,04:30,L,True,L,"{""0"":""L""}",
48,SOL,2025-12-31,04:35,S,True,S,"{""0"":""S""}",
49,SUI,2025-11-19,04:40,S,True,S,"{""0"":""S""}",
50,SUI,2025-12-10,04:45,S,False,,{},signal_range
51,XRP,2025-12-10,04:50,S,True,S,"{""0"":""S""}",
52,XRP,2023-08-14,04:55,S,True,S,"{""0"":""S""}",
53,SUI,2025-11-07,05:15,L,True,L,"{""0"":""L""}",
54,BTC,2025-12-24,05:25,S,True,S,"{""0"":""S""}",
55,BTC,2025-12-15,05:30,S,False,,{},signal_range
56,ETH,2025-12-29,05:35,L,True,L,"{""0"":""L""}",
57,XRP,2023-08-15,05:40,L,False,,{},signal_range
