symbol,signal_iso,entry_iso,exit_iso,side,tclass,e,s,t,exit_price,reason,R
ETHUSDT,2026-08-17T15:49:59.999000Z,2026-08-17T15:50:00Z,2026-08-17T16:14:59.999000Z,LONG,NORMAL,1912.95,1908.39,1923.4379999999999,1908.39,SL,-1.0
ETHUSDT,2026-08-17T22:19:59.999000Z,2026-08-17T22:20:00Z,2026-08-17T22:24:59.999000Z,SHORT,NORMAL,1903.15,1904.49,1900.0680000000002,1904.49,SL,-1.0
ETHUSDT,2026-08-19T19:09:59.999000Z,2026-08-19T19:10:00Z,2026-08-19T19:14:59.999000Z,LONG,NORMAL,2096.4300000000003,2092.0899999999997,2106.4120000000016,2092.0899999999997,SL,-1.0
ETHUSDT,2026-08-21T11:44:59.999000Z,2026-08-21T11:45:00Z,2026-08-21T12:14:59.999000Z,SHORT,NORMAL,2371.35,2377.78,2356.5609999999992,2377.78,SL,-1.0
ETHUSDT,2026-08-23T11:34:59.999000Z,2026-08-23T11:35:00Z,2026-08-23T12:09:59.999000Z,LONG,NORMAL,2430.8,2425.5299999999997,2442.921000000001,2425.5299999999997,SL,-1.0
ETHUSDT,2026-08-30T11:24:59.999000Z,2026-08-30T11:25:00Z,2026-08-30T11:39:59.999000Z,LONG,NORMAL,2459.0800000000004,2457.8599999999997,2461.8860000000022,2457.8599999999997,SL,-1.0
ETHUSDT,2026-09-01T02:09:59.999000Z,2026-09-01T02:10:00Z,2026-09-01T02:29:59.999000Z,SHORT,NORMAL,2457.18,2460.9900000000002,2448.416999999999,2460.9900000000002,SL,-1.0
ETHUSDT,2026-09-03T09:49:59.999000Z,2026-09-03T09:50:00Z,2026-09-03T10:59:59.999000Z,SHORT,T-1,2393.5899999999997,2398.3,2382.7569999999987,2395.74,EMA,-0.4564755838640906
ETHUSDT,2026-09-03T12:49:59.999000Z,2026-09-03T12:50:00Z,2026-09-03T13:34:59.999000Z,LONG,T-1,2417.5200000000004,2411.99,2430.239000000002,2430.239000000002,TP,2.3
ETHUSDT,2026-09-05T16:29:59.999000Z,2026-09-05T16:30:00Z,2026-09-05T16:34:59.999000Z,LONG,NORMAL,2462.71,2460.41,2468.0000000000005,2468.0000000000005,TP,2.3
ETHUSDT,2026-09-06T01:09:59.999000Z,2026-09-06T01:10:00Z,2026-09-06T01:24:59.999000Z,LONG,NORMAL,2496.7400000000002,2491.3999999999996,2509.0220000000018,2491.3999999999996,SL,-1.0
ETHUSDT,2026-09-09T22:49:59.999000Z,2026-09-09T22:50:00Z,2026-09-09T23:04:59.999000Z,SHORT,T-1,2451.7099999999996,2456.1600000000003,2441.474999999998,2456.1600000000003,SL,-1.0
ETHUSDT,2026-09-11T22:44:59.999000Z,2026-09-11T22:45:00Z,2026-09-11T23:44:59.999000Z,SHORT,NORMAL,2515.18,2521.8300000000004,2499.8849999999984,2510.02,SESSION,0.7759398496239746
ETHUSDT,2026-09-13T00:09:59.999000Z,2026-09-13T00:10:00Z,2026-09-13T00:14:59.999000Z,LONG,NORMAL,2525.7400000000002,2524.72,2528.086000000001,2524.72,SL,-1.0
ETHUSDT,2026-09-15T21:59:59.999000Z,2026-09-15T22:00:00Z,2026-09-15T22:04:59.999000Z,SHORT,T-1,2388.12,2396.07,2369.834999999999,2396.07,SL,-1.0
ETHUSDT,2026-09-18T18:49:59.999000Z,2026-09-18T18:50:00Z,2026-09-18T18:59:59.999000Z,LONG,NORMAL,2614.17,2608.83,2626.452,2608.83,SL,-1.0
SOLUSDT,2026-08-16T18:09:59.999000Z,2026-08-16T18:10:00Z,2026-08-16T19:14:59.999000Z,SHORT,NORMAL,75.14800000000001,75.232,74.95480000000003,75.232,SL,-1.0
SOLUSDT,2026-08-18T10:24:59.999000Z,2026-08-18T10:25:00Z,2026-08-18T11:04:59.999000Z,SHORT,NORMAL,75.778,75.88199999999999,75.53880000000004,75.88199999999999,SL,-1.0
SOLUSDT,2026-08-23T13:14:59.999000Z,2026-08-23T13:15:00Z,2026-08-23T13:19:59.999000Z,LONG,NORMAL,94.972,94.72800000000001,95.53319999999997,95.53319999999997,TP,2.3
SOLUSDT,2026-08-28T08:59:59.999000Z,2026-08-28T09:00:00Z,2026-08-28T09:09:59.999000Z,SHORT,NORMAL,105.89800000000001,106.232,105.12980000000003,106.232,SL,-1.0
SOLUSDT,2026-08-29T14:19:59.999000Z,2026-08-29T14:20:00Z,2026-08-29T14:39:59.999000Z,LONG,NORMAL,104.152,103.92800000000001,104.66719999999998,104.66719999999998,TP,2.3
SOLUSDT,2026-08-30T04:34:59.999000Z,2026-08-30T04:35:00Z,2026-08-30T04:59:59.999000Z,SHORT,NORMAL,104.848,104.96199999999999,104.58580000000002,104.96199999999999,SL,-1.0
SOLUSDT,2026-08-31T22:59:59.999000Z,2026-08-31T23:00:00Z,2026-08-31T23:04:59.999000Z,SHORT,NORMAL,103.138,103.252,102.87580000000003,102.87580000000003,TP,2.3
SOLUSDT,2026-09-01T16:59:59.999000Z,2026-09-01T17:00:00Z,2026-09-01T17:24:59.999000Z,SHORT,NORMAL,100.818,101.082,100.2108,101.082,SL,-1.0
SOLUSDT,2026-09-06T02:24:59.999000Z,2026-09-06T02:25:00Z,2026-09-06T02:34:59.999000Z,LONG,NORMAL,104.032,103.858,104.43219999999998,104.43219999999998,TP,2.3
SOLUSDT,2026-09-08T09:29:59.999000Z,2026-09-08T09:30:00Z,2026-09-08T10:24:59.999000Z,LONG,NORMAL,103.32199999999999,103.078,103.88319999999996,103.88319999999996,TP,2.3
SOLUSDT,2026-09-08T15:09:59.999000Z,2026-09-08T15:10:00Z,2026-09-08T15:59:59.999000Z,LONG,NORMAL,103.472,103.17800000000001,104.14819999999996,104.14819999999996,TP,2.3
SOLUSDT,2026-09-11T18:54:59.999000Z,2026-09-11T18:55:00Z,2026-09-11T19:04:59.999000Z,SHORT,NORMAL,100.748,101.192,99.72680000000003,101.192,SL,-1.0
SOLUSDT,2026-09-15T21:59:59.999000Z,2026-09-15T22:00:00Z,2026-09-15T22:04:59.999000Z,SHORT,T-1,96.468,96.752,95.81480000000002,96.752,SL,-1.0
SUIUSDT,2026-08-18T11:14:59.999000Z,2026-08-18T11:15:00Z,2026-08-18T12:24:59.999000Z,LONG,NORMAL,0.6507999999999999,0.6495,0.6537899999999999,0.6537899999999999,TP,2.3
