symbol,tf,variant,signal_ms,entry_ms,exit_ms,tclass,side,e,s,t,exit_price,reason,R
ETHUSDT,5,canonical,1786981799999,1786981800000,1786983299999,NORMAL,L,1912.95,1908.39,1923.4379999999999,1908.39,SL,-1.0
ETHUSDT,5,canonical,1787005199999,1787005200000,1787005499999,NORMAL,S,1903.15,1904.49,1900.0680000000002,1904.49,SL,-1.0
ETHUSDT,5,canonical,1787166599999,1787166600000,1787166899999,NORMAL,L,2096.4300000000003,2092.0899999999997,2106.4120000000016,2092.0899999999997,SL,-1.0
ETHUSDT,5,canonical,1787312699999,1787312700000,1787314499999,NORMAL,S,2371.35,2377.78,2356.5609999999992,2377.78,SL,-1.0
ETHUSDT,5,canonical,1787484899999,1787484900000,1787486999999,NORMAL,L,2430.8,2425.5299999999997,2442.921000000001,2425.5299999999997,SL,-1.0
ETHUSDT,5,canonical,1788089099999,1788089100000,1788089999999,NORMAL,L,2459.0800000000004,2457.8599999999997,2461.8860000000022,2457.8599999999997,SL,-1.0
ETHUSDT,5,canonical,1788228599999,1788228600000,1788229799999,NORMAL,S,2457.18,2460.9900000000002,2448.416999999999,2460.9900000000002,SL,-1.0
ETHUSDT,5,canonical,1788428999999,1788429000000,1788433199999,T-1,S,2393.5899999999997,2398.3,2382.7569999999987,2395.74,EMA,-0.4564755838640906
ETHUSDT,5,canonical,1788439799999,1788439800000,1788442499999,T-1,L,2417.5200000000004,2411.99,2430.239000000002,2430.239000000002,TP,2.3
ETHUSDT,5,canonical,1788625799999,1788625800000,1788626099999,T+1,L,2462.71,2460.41,2468.0000000000005,2468.0000000000005,TP,2.3
ETHUSDT,5,canonical,1788994199999,1788994200000,1788995099999,T-1,S,2451.7099999999996,2456.1600000000003,2441.474999999998,2456.1600000000003,SL,-1.0
ETHUSDT,5,canonical,1789166699999,1789166700000,1789170299999,T+1,S,2515.18,2521.8300000000004,2499.8849999999984,2510.02,SESSION,0.7759398496239746
ETHUSDT,5,canonical,1789509599999,1789509600000,1789509899999,T-1,S,2388.12,2396.07,2369.834999999999,2396.07,SL,-1.0
ETHUSDT,5,fixed,1786981799999,1786981800000,1786983299999,NORMAL,L,1912.95,1908.39,1923.4379999999999,1908.39,SL,-1.0
ETHUSDT,5,fixed,1787005199999,1787005200000,1787005499999,NORMAL,S,1903.15,1904.49,1900.0680000000002,1904.49,SL,-1.0
ETHUSDT,5,fixed,1787166599999,1787166600000,1787166899999,NORMAL,L,2096.4300000000003,2092.0899999999997,2106.4120000000016,2092.0899999999997,SL,-1.0
ETHUSDT,5,fixed,1787312699999,1787312700000,1787314499999,NORMAL,S,2371.35,2377.78,2356.5609999999992,2377.78,SL,-1.0
ETHUSDT,5,fixed,1787484899999,1787484900000,1787486999999,NORMAL,L,2430.8,2425.5299999999997,2442.921000000001,2425.5299999999997,SL,-1.0
ETHUSDT,5,fixed,1788089099999,1788089100000,1788089999999,NORMAL,L,2459.0800000000004,2457.8599999999997,2461.8860000000022,2457.8599999999997,SL,-1.0
ETHUSDT,5,fixed,1788228599999,1788228600000,1788229799999,NORMAL,S,2457.18,2460.9900000000002,2448.416999999999,2460.9900000000002,SL,-1.0
ETHUSDT,5,fixed,1788428999999,1788429000000,1788433799999,T-1,S,2393.5899999999997,2398.3,2382.7569999999987,2398.3,SL,-1.0
ETHUSDT,5,fixed,1788439799999,1788439800000,1788442499999,T-1,L,2417.5200000000004,2411.99,2430.239000000002,2430.239000000002,TP,2.3
ETHUSDT,5,fixed,1788625799999,1788625800000,1788626099999,T+1,L,2462.71,2460.41,2468.0000000000005,2468.0000000000005,TP,2.3
ETHUSDT,5,fixed,1788994199999,1788994200000,1788995099999,T-1,S,2451.7099999999996,2456.1600000000003,2441.474999999998,2456.1600000000003,SL,-1.0
ETHUSDT,5,fixed,1789166699999,1789166700000,1789196699999,T+1,S,2515.18,2521.8300000000004,2499.8849999999984,2521.8300000000004,SL,-1.0
ETHUSDT,5,fixed,1789509599999,1789509600000,1789509899999,T-1,S,2388.12,2396.07,2369.834999999999,2396.07,SL,-1.0
ETHUSDT,15,canonical,1787296499999,1787296500000,1787299199999,NORMAL,L,2387.15,2369.81,2427.0320000000006,2369.81,SL,-1.0
ETHUSDT,15,canonical,1787893199999,1787893200000,1787894999999,NORMAL,S,2483.4599999999996,2487.8300000000004,2473.408999999998,2487.8300000000004,SL,-1.0
ETHUSDT,15,canonical,1788846299999,1788846300000,1788853499999,NORMAL,S,2471.79,2481.2200000000003,2450.100999999999,2481.2200000000003,SL,-1.0
ETHUSDT,15,canonical,1788990299999,1788990300000,1788992099999,T-1,S,2462.5699999999997,2469.84,2445.848999999999,2445.848999999999,TP,2.3
ETHUSDT,15,fixed,1787296499999,1787296500000,1787299199999,NORMAL,L,2387.15,2369.81,2427.0320000000006,2369.81,SL,-1.0
ETHUSDT,15,fixed,1787893199999,1787893200000,1787894999999,NORMAL,S,2483.4599999999996,2487.8300000000004,2473.408999999998,2487.8300000000004,SL,-1.0
ETHUSDT,15,fixed,1788846299999,1788846300000,1788853499999,NORMAL,S,2471.79,2481.2200000000003,2450.100999999999,2481.2200000000003,SL,-1.0
ETHUSDT,15,fixed,1788990299999,1788990300000,1788992099999,T-1,S,2462.5699999999997,2469.84,2445.848999999999,2445.848999999999,TP,2.3
ETHUSDT,30,canonical,1789714799999,1789714800000,1789720199999,T+1,L,2486.8900000000003,2480.89,2500.6900000000014,2500.6900000000014,TP,2.3
ETHUSDT,30,fixed,1789714799999,1789714800000,1789720199999,T+1,L,2486.8900000000003,2480.89,2500.6900000000014,2500.6900000000014,TP,2.3
SOLUSDT,5,canonical,1786903799999,1786903800000,1786907699999,NORMAL,S,75.14800000000001,75.232,74.95480000000003,75.232,SL,-1.0
SOLUSDT,5,canonical,1787048699999,1787048700000,1787051099999,NORMAL,S,75.778,75.88199999999999,75.53880000000004,75.88199999999999,SL,-1.0
SOLUSDT,5,canonical,1787490899999,1787490900000,1787491199999,NORMAL,L,94.972,94.72800000000001,95.53319999999997,95.53319999999997,TP,2.3
SOLUSDT,5,canonical,1787907599999,1787907600000,1787908199999,NORMAL,S,105.89800000000001,106.232,105.12980000000003,106.232,SL,-1.0
SOLUSDT,5,canonical,1788013199999,1788013200000,1788014399999,NORMAL,L,104.152,103.92800000000001,104.66719999999998,104.66719999999998,TP,2.3
SOLUSDT,5,canonical,1788064499999,1788064500000,1788065999999,NORMAL,S,104.848,104.96199999999999,104.58580000000002,104.96199999999999,SL,-1.0
SOLUSDT,5,canonical,1788217199999,1788217200000,1788217499999,NORMAL,S,103.138,103.252,102.87580000000003,102.87580000000003,TP,2.3
SOLUSDT,5,canonical,1788281999999,1788282000000,1788283499999,NORMAL,S,100.818,101.082,100.2108,101.082,SL,-1.0
SOLUSDT,5,canonical,1788859799999,1788859800000,1788863099999,NORMAL,L,103.32199999999999,103.078,103.88319999999996,103.88319999999996,TP,2.3
SOLUSDT,5,canonical,1788880199999,1788880200000,1788883199999,NORMAL,L,103.472,103.17800000000001,104.14819999999996,104.14819999999996,TP,2.3
SOLUSDT,5,canonical,1789152899999,1789152900000,1789153499999,T+1,S,100.748,101.192,99.72680000000003,101.192,SL,-1.0
SOLUSDT,5,canonical,1789509599999,1789509600000,1789509899999,T-1,S,96.468,96.752,95.81480000000002,96.752,SL,-1.0
SOLUSDT,5,fixed,1786903799999,1786903800000,1786907699999,NORMAL,S,75.14800000000001,75.232,74.95480000000003,75.232,SL,-1.0
SOLUSDT,5,fixed,1787048699999,1787048700000,1787051099999,NORMAL,S,75.778,75.88199999999999,75.53880000000004,75.88199999999999,SL,-1.0
SOLUSDT,5,fixed,1787490899999,1787490900000,1787491199999,NORMAL,L,94.972,94.72800000000001,95.53319999999997,95.53319999999997,TP,2.3
SOLUSDT,5,fixed,1787907599999,1787907600000,1787908199999,NORMAL,S,105.89800000000001,106.232,105.12980000000003,106.232,SL,-1.0
SOLUSDT,5,fixed,1788013199999,1788013200000,1788014399999,NORMAL,L,104.152,103.92800000000001,104.66719999999998,104.66719999999998,TP,2.3
SOLUSDT,5,fixed,1788064499999,1788064500000,1788065999999,NORMAL,S,104.848,104.96199999999999,104.58580000000002,104.96199999999999,SL,-1.0
SOLUSDT,5,fixed,1788217199999,1788217200000,1788217499999,NORMAL,S,103.138,103.252,102.87580000000003,102.87580000000003,TP,2.3
SOLUSDT,5,fixed,1788281999999,1788282000000,1788283499999,NORMAL,S,100.818,101.082,100.2108,101.082,SL,-1.0
SOLUSDT,5,fixed,1788859799999,1788859800000,1788863099999,NORMAL,L,103.32199999999999,103.078,103.88319999999996,103.88319999999996,TP,2.3
SOLUSDT,5,fixed,1788880199999,1788880200000,1788883199999,NORMAL,L,103.472,103.17800000000001,104.14819999999996,104.14819999999996,TP,2.3
SOLUSDT,5,fixed,1789152899999,1789152900000,1789153499999,T+1,S,100.748,101.192,99.72680000000003,101.192,SL,-1.0
SOLUSDT,5,fixed,1789509599999,1789509600000,1789509899999,T-1,S,96.468,96.752,95.81480000000002,96.752,SL,-1.0
SOLUSDT,15,canonical,1786882499999,1786882500000,1786886099999,NORMAL,S,75.188,75.252,75.04080000000002,75.252,SL,-1.0
SOLUSDT,15,canonical,1787037299999,1787037300000,1787039099999,NORMAL,L,76.142,75.958,76.56519999999999,75.958,SL,-1.0
SOLUSDT,15,canonical,1787214599999,1787214600000,1787223599999,NORMAL,L,87.66199999999999,87.00800000000001,89.16619999999995,87.00800000000001,SL,-1.0
SOLUSDT,15,canonical,1787840999999,1787841000000,1787849099999,NORMAL,L,106.24199999999999,105.168,108.71219999999995,108.71219999999995,TP,2.3
SOLUSDT,15,canonical,1788846299999,1788846300000,1788857999999,NORMAL,S,102.97800000000001,103.38199999999999,102.04880000000006,103.0,EMA,-0.05445544554453548
SOLUSDT,15,fixed,1786882499999,1786882500000,1786886099999,NORMAL,S,75.188,75.252,75.04080000000002,75.252,SL,-1.0
SOLUSDT,15,fixed,1787037299999,1787037300000,1787039099999,NORMAL,L,76.142,75.958,76.56519999999999,75.958,SL,-1.0
SOLUSDT,15,fixed,1787214599999,1787214600000,1787223599999,NORMAL,L,87.66199999999999,87.00800000000001,89.16619999999995,87.00800000000001,SL,-1.0
SOLUSDT,15,fixed,1787840999999,1787841000000,1787849099999,NORMAL,L,106.24199999999999,105.168,108.71219999999995,108.71219999999995,TP,2.3
SOLUSDT,15,fixed,1788846299999,1788846300000,1788860699999,NORMAL,S,102.97800000000001,103.38199999999999,102.04880000000006,103.38199999999999,SL,-1.0
SOLUSDT,30,canonical,1787920199999,1787920200000,1787927399999,NORMAL,S,104.808,105.952,102.17680000000003,105.952,SL,-1.0
SOLUSDT,30,fixed,1787920199999,1787920200000,1787927399999,NORMAL,S,104.808,105.952,102.17680000000003,105.952,SL,-1.0
SOLUSDT,60,canonical,1787223599999,1787223600000,1787230799999,NORMAL,L,87.812,86.97800000000001,89.73019999999997,86.97800000000001,SL,-1.0
SOLUSDT,60,canonical,1787360399999,1787360400000,1787374799999,NORMAL,L,94.442,92.83800000000001,98.13119999999996,98.13119999999996,TP,2.3
SOLUSDT,60,canonical,1789001999999,1789002000000,1789005599999,T-1,S,100.878,101.66199999999999,99.07480000000002,101.66199999999999,SL,-1.0
SOLUSDT,60,fixed,1787223599999,1787223600000,1787230799999,NORMAL,L,87.812,86.97800000000001,89.73019999999997,86.97800000000001,SL,-1.0
SOLUSDT,60,fixed,1787360399999,1787360400000,1787374799999,NORMAL,L,94.442,92.83800000000001,98.13119999999996,98.13119999999996,TP,2.3
SOLUSDT,60,fixed,1789001999999,1789002000000,1789005599999,T-1,S,100.878,101.66199999999999,99.07480000000002,101.66199999999999,SL,-1.0
SUIUSDT,5,canonical,1787051699999,1787051700000,1787055899999,NORMAL,L,0.6507999999999999,0.6495,0.6537899999999999,0.6537899999999999,TP,2.3
SUIUSDT,5,canonical,1787081099999,1787081100000,1787081999999,NORMAL,L,0.6579,0.6569,0.6602,0.6569,SL,-1.0
SUIUSDT,5,canonical,1787089199999,1787089200000,1787090099999,NORMAL,S,0.6513,0.6524,0.6487700000000001,0.6487700000000001,TP,2.3
SUIUSDT,5,canonical,1787262299999,1787262300000,1787263199999,NORMAL,L,0.7351,0.7326,0.7408499999999999,0.7326,SL,-1.0
SUIUSDT,5,canonical,1787298299999,1787298300000,1787298599999,NORMAL,L,0.7823,0.7775,0.79334,0.7775,SL,-1.0
SUIUSDT,5,canonical,1787800499999,1787800500000,1787801099999,NORMAL,S,0.7476,0.7513,0.7390900000000002,0.7513,SL,-1.0
SUIUSDT,5,canonical,1788071099999,1788071100000,1788075299999,NORMAL,L,0.7441,0.742,0.74893,0.742,SL,-1.0
SUIUSDT,5,canonical,1788128699999,1788128700000,1788131999999,NORMAL,S,0.734,0.7387,0.7231899999999999,0.7231899999999999,TP,2.3
SUIUSDT,5,canonical,1788273899999,1788273900000,1788274499999,NORMAL,L,0.7353,0.7336,0.7392099999999998,0.7336,SL,-1.0
SUIUSDT,5,canonical,1788842999999,1788843000000,1788843899999,NORMAL,S,0.8160000000000001,0.8177,0.8120900000000002,0.8120900000000002,TP,2.3
SUIUSDT,5,canonical,1788869099999,1788869100000,1788870599999,NORMAL,S,0.8054,0.8099999999999999,0.7948200000000002,0.8099999999999999,SL,-1.0
SUIUSDT,5,canonical,1788880199999,1788880200000,1788884399999,NORMAL,L,0.8204,0.8147,0.8335100000000001,0.8196,EMA,-0.14035087719298553
SUIUSDT,5,canonical,1788990599999,1788990600000,1788991799999,T-1,S,0.7735,0.7785,0.762,0.762,TP,2.3
SUIUSDT,5,canonical,1789046999999,1789047000000,1789047599999,T-1,S,0.7483,0.7512,0.7416299999999999,0.7512,SL,-1.0
SUIUSDT,5,canonical,1789528499999,1789528500000,1789529999999,T-1,L,0.6913,0.6883,0.6982,0.6883,SL,-1.0
