symbol,signal_ms,signal_iso,entry_iso,exit_iso,side,tclass,tlabels,e,s,t,exit_price,reason,R
SOLUSDT,1609790399999,2021-01-04T19:59:59.999000Z,2021-01-04T20:00:00Z,2021-01-04T20:59:59.999000Z,LONG,NORMAL,,2.4301000000000004,2.3004,2.7284100000000016,2.3004,SL,-1.0
SOLUSDT,1610920799999,2021-01-17T21:59:59.999000Z,2021-01-17T22:00:00Z,2021-01-17T23:29:59.999000Z,LONG,NORMAL,,3.8721,3.8223999999999996,3.986410000000001,3.9317,SESSION,1.1991951710261464
SOLUSDT,1612886399999,2021-02-09T15:59:59.999000Z,2021-02-09T16:00:00Z,2021-02-09T18:29:59.999000Z,SHORT,T-1,T-1,7.7081,7.8133,7.46614,7.8133,SL,-1.0
SOLUSDT,1613408399999,2021-02-15T16:59:59.999000Z,2021-02-15T17:00:00Z,2021-02-15T18:59:59.999000Z,LONG,NORMAL,,9.0748,8.9929,9.263169999999997,9.263169999999997,TP,2.3
SOLUSDT,1613491199999,2021-02-16T15:59:59.999000Z,2021-02-16T16:00:00Z,2021-02-16T16:59:59.999000Z,SHORT,NORMAL,,8.3854,8.522,8.071220000000002,8.071220000000002,TP,2.3
SOLUSDT,1614175199999,2021-02-24T13:59:59.999000Z,2021-02-24T14:00:00Z,2021-02-24T15:29:59.999000Z,LONG,NORMAL,,16.9077,16.2575,18.403159999999993,16.2575,SL,-1.0
SOLUSDT,1616588999999,2021-03-24T12:29:59.999000Z,2021-03-24T12:30:00Z,2021-03-24T13:59:59.999000Z,LONG,NORMAL,,14.8436,14.7125,15.14513,14.7125,SL,-1.0
SOLUSDT,1618167599999,2021-04-11T18:59:59.999000Z,2021-04-11T19:00:00Z,2021-04-11T22:29:59.999000Z,LONG,T-1,T-1,28.3085,28.063200000000002,28.87268999999999,28.063200000000002,SL,-1.0
SOLUSDT,1623234599999,2021-06-09T10:29:59.999000Z,2021-06-09T10:30:00Z,2021-06-09T13:29:59.999000Z,LONG,T-1,T-1,43.310100000000006,42.299899999999994,45.63356000000003,42.299899999999994,SL,-1.0
SOLUSDT,1623391199999,2021-06-11T05:59:59.999000Z,2021-06-11T06:00:00Z,2021-06-11T13:59:59.999000Z,SHORT,T+1,T+1,39.405899999999995,39.9001,38.26923999999998,39.9001,SL,-1.0
SOLUSDT,1624310999999,2021-06-21T21:29:59.999000Z,2021-06-21T21:30:00Z,2021-06-21T23:29:59.999000Z,SHORT,NORMAL,,26.7999,28.2901,23.372440000000005,27.21,SESSION,-0.2751979600053687
SOLUSDT,1624969799999,2021-06-29T12:29:59.999000Z,2021-06-29T12:30:00Z,2021-06-29T20:59:59.999000Z,LONG,NORMAL,,34.8911,34.155899999999995,36.58206000000001,34.155899999999995,SL,-1.0
SOLUSDT,1628101799999,2021-08-04T18:29:59.999000Z,2021-08-04T18:30:00Z,2021-08-04T23:29:59.999000Z,LONG,T-1,T-1,36.039100000000005,35.5199,37.233260000000016,36.076,SESSION,0.07107087827425917
SOLUSDT,1628783999999,2021-08-12T15:59:59.999000Z,2021-08-12T16:00:00Z,2021-08-12T17:29:59.999000Z,SHORT,T+1,T+1,39.793899999999994,40.243100000000005,38.76073999999997,40.243100000000005,SL,-1.0
SOLUSDT,1629827999999,2021-08-24T17:59:59.999000Z,2021-08-24T18:00:00Z,2021-08-24T18:59:59.999000Z,SHORT,NORMAL,,70.6999,71.9531,67.81753999999998,71.9531,SL,-1.0
SOLUSDT,1630387799999,2021-08-31T05:29:59.999000Z,2021-08-31T05:30:00Z,2021-08-31T06:59:59.999000Z,LONG,NORMAL,,118.6911,115.8599,125.20286000000003,115.8599,SL,-1.0
SOLUSDT,1631278799999,2021-09-10T12:59:59.999000Z,2021-09-10T13:00:00Z,2021-09-10T18:59:59.999000Z,SHORT,NORMAL,,178.6199,183.2861,167.88764,183.2861,SL,-1.0
SOLUSDT,1632466799999,2021-09-24T06:59:59.999000Z,2021-09-24T07:00:00Z,2021-09-24T07:29:59.999000Z,SHORT,T+1,T+1,142.4889,144.44910000000002,137.98043999999996,144.44910000000002,SL,-1.0
SOLUSDT,1635712199999,2021-10-31T20:29:59.999000Z,2021-10-31T20:30:00Z,2021-10-31T23:29:59.999000Z,LONG,NORMAL,,198.7071,195.16389999999998,206.85646000000003,202.387,SESSION,1.0385809437796314
SOLUSDT,1637121599999,2021-11-17T03:59:59.999000Z,2021-11-17T04:00:00Z,2021-11-17T10:59:59.999000Z,SHORT,NORMAL,,212.3919,217.2421,201.23644,217.2421,SL,-1.0
