symbol,signal_ms,signal_iso,entry_iso,exit_iso,tclass,side,e,s,t,exit_price,reason,R
SOLUSDT,1613408399999,2021-02-15T16:59:59.999000Z,2021-02-15T17:00:00Z,2021-02-15T18:59:59.999000Z,NORMAL,LONG,9.0748,8.9929,9.263169999999997,9.263169999999997,TP,2.3
SOLUSDT,1613491199999,2021-02-16T15:59:59.999000Z,2021-02-16T16:00:00Z,2021-02-16T16:59:59.999000Z,NORMAL,SHORT,8.3854,8.522,8.071220000000002,8.071220000000002,TP,2.3
SOLUSDT,1628783999999,2021-08-12T15:59:59.999000Z,2021-08-12T16:00:00Z,2021-08-12T17:29:59.999000Z,T+1,SHORT,39.793899999999994,40.243100000000005,38.76073999999997,40.243100000000005,SL,-1
SOLUSDT,1647588599999,2022-03-18T07:29:59.999000Z,2022-03-18T07:30:00Z,2022-03-18T14:29:59.999000Z,T+1,SHORT,85.8899,86.6901,84.04943999999999,86.23,EMA,-0.425018745313678
SOLUSDT,1655735399999,2022-06-20T14:29:59.999000Z,2022-06-20T14:30:00Z,2022-06-20T15:29:59.999000Z,NORMAL,LONG,36.0101,35.259899999999995,37.735560000000014,35.259899999999995,SL,-1
SOLUSDT,1663945199999,2022-09-23T14:59:59.999000Z,2022-09-23T15:00:00Z,2022-09-23T15:29:59.999000Z,T+1,SHORT,31.3699,31.6601,30.702440000000003,31.6601,SL,-1
SOLUSDT,1666002599999,2022-10-17T10:29:59.999000Z,2022-10-17T10:30:00Z,2022-10-17T13:59:59.999000Z,NORMAL,LONG,30.6201,30.3899,31.14956,31.14956,TP,2.3
SOLUSDT,1667208599999,2022-10-31T09:29:59.999000Z,2022-10-31T09:30:00Z,2022-10-31T13:59:59.999000Z,NORMAL,LONG,33.6901,33.179899999999996,34.863560000000014,33.179899999999996,SL,-1
SOLUSDT,1669111199999,2022-11-22T09:59:59.999000Z,2022-11-22T10:00:00Z,2022-11-22T13:29:59.999000Z,NORMAL,SHORT,11.2109,11.3661,10.853940000000003,11.3661,SL,-1
SOLUSDT,1678892399999,2023-03-15T14:59:59.999000Z,2023-03-15T15:00:00Z,2023-03-15T16:59:59.999000Z,T+1,SHORT,19.8029,20.2771,18.71224,18.71224,TP,2.3
SOLUSDT,1695027599999,2023-09-18T08:59:59.999000Z,2023-09-18T09:00:00Z,2023-09-18T09:59:59.999000Z,NORMAL,LONG,19.1581,19.076900000000002,19.344859999999997,19.344859999999997,TP,2.3
SOLUSDT,1697727599999,2023-10-19T14:59:59.999000Z,2023-10-19T15:00:00Z,2023-10-19T16:29:59.999000Z,NORMAL,LONG,24.4941,24.2129,25.140859999999996,25.140859999999996,TP,2.3
SOLUSDT,1704124799999,2024-01-01T15:59:59.999000Z,2024-01-01T16:00:00Z,2024-01-01T23:29:59.999000Z,NORMAL,LONG,106.5001,105.0249,109.89306,109.102,SESSION,1.763760845986984
SOLUSDT,1727778599999,2024-10-01T10:29:59.999000Z,2024-10-01T10:30:00Z,2024-10-01T11:59:59.999000Z,NORMAL,LONG,157.0591,156.4459,158.46946000000003,156.4459,SL,-1
SOLUSDT,1730822399999,2024-11-05T15:59:59.999000Z,2024-11-05T16:00:00Z,2024-11-05T19:59:59.999000Z,NORMAL,LONG,166.1401,164.5199,169.86655999999994,164.5199,SL,-1
SOLUSDT,1732181399999,2024-11-21T09:29:59.999000Z,2024-11-21T09:30:00Z,2024-11-21T09:59:59.999000Z,NORMAL,LONG,243.2901,241.8699,246.55656,241.8699,SL,-1
SOLUSDT,1732892399999,2024-11-29T14:59:59.999000Z,2024-11-29T15:00:00Z,2024-11-29T15:59:59.999000Z,NORMAL,LONG,245.1501,242.7599,250.64756000000006,242.7599,SL,-1
SOLUSDT,1735658999999,2024-12-31T15:29:59.999000Z,2024-12-31T15:30:00Z,2024-12-31T17:59:59.999000Z,NORMAL,LONG,198.1901,196.3799,202.35356000000002,196.3799,SL,-1
SOLUSDT,1735723799999,2025-01-01T09:29:59.999000Z,2025-01-01T09:30:00Z,2025-01-01T10:29:59.999000Z,NORMAL,SHORT,188.0399,189.6601,184.31343999999996,189.6601,SL,-1
