symbol,signal_ms,signal_iso,entry_ms,entry_iso,exit_ms,exit_iso,tclass,side,entry,stop,target,exit_price,exit_reason,R,ambiguous
TRBUSDT,1642435199999,2022-01-17T15:59:59.999000Z,1642435200000,2022-01-17T16:00:00Z,1642462199999,2022-01-17T23:29:59.999000Z,NORMAL,SHORT,28.889,29.281000000000002,27.987399999999994,28.84,SESSION,0.12499999999999774,False
AAVEUSDT,1642438799999,2022-01-17T16:59:59.999000Z,1642438800000,2022-01-17T17:00:00Z,1642447799999,2022-01-17T19:29:59.999000Z,NORMAL,SHORT,223.409,226.501,216.29739999999995,226.501,SL,-1.0,False
BCHUSDT,1642438799999,2022-01-17T16:59:59.999000Z,1642438800000,2022-01-17T17:00:00Z,1642445999999,2022-01-17T18:59:59.999000Z,NORMAL,SHORT,376.0,378.04,371.30799999999994,378.04,SL,-1.0,False
XRPUSDT,1642438799999,2022-01-17T16:59:59.999000Z,1642438800000,2022-01-17T17:00:00Z,1642442399999,2022-01-17T17:59:59.999000Z,NORMAL,SHORT,0.7523000000000001,0.7564000000000001,0.7428700000000001,0.7564000000000001,SL,-1.0,False
LTCUSDT,1642494599999,2022-01-18T08:29:59.999000Z,1642494600000,2022-01-18T08:30:00Z,1642541399999,2022-01-18T21:29:59.999000Z,NORMAL,SHORT,143.82000000000002,146.14,138.4840000000001,142.19,EMA,0.7025862068965727,False
KNCUSDT,1642672799999,2022-01-20T09:59:59.999000Z,1642672800000,2022-01-20T10:00:00Z,1642676399999,2022-01-20T10:59:59.999000Z,NORMAL,LONG,1.5800100000000001,1.56999,1.6030560000000005,1.56999,SL,-1.0,False
UNIUSDT,1642688999999,2022-01-20T14:29:59.999000Z,1642689000000,2022-01-20T14:30:00Z,1642706999999,2022-01-20T19:29:59.999000Z,NORMAL,LONG,15.927100000000001,15.7909,16.240360000000003,15.7909,SL,-1.0,False
LINKUSDT,1642690799999,2022-01-20T14:59:59.999000Z,1642690800000,2022-01-20T15:00:00Z,1642696199999,2022-01-20T16:29:59.999000Z,NORMAL,LONG,22.837000000000003,22.518,23.57070000000001,22.518,SL,-1.0,False
QTUMUSDT,1643011199999,2022-01-24T07:59:59.999000Z,1643011200000,2022-01-24T08:00:00Z,1643014799999,2022-01-24T08:59:59.999000Z,NORMAL,SHORT,5.401,5.4990000000000006,5.175599999999998,5.4990000000000006,SL,-1.0,False
ZENUSDT,1643011199999,2022-01-24T07:59:59.999000Z,1643011200000,2022-01-24T08:00:00Z,1643014799999,2022-01-24T08:59:59.999000Z,NORMAL,SHORT,32.675000000000004,33.387,31.037400000000012,33.387,SL,-1.0,False
ETCUSDT,1643018399999,2022-01-24T09:59:59.999000Z,1643018400000,2022-01-24T10:00:00Z,1643029199999,2022-01-24T12:59:59.999000Z,NORMAL,SHORT,23.073999999999998,23.542,21.99759999999999,21.99759999999999,TP,2.3,False
SNXUSDT,1643646599999,2022-01-31T16:29:59.999000Z,1643646600000,2022-01-31T16:30:00Z,1643671799999,2022-01-31T23:29:59.999000Z,NORMAL,LONG,5.66,5.5169999999999995,5.988900000000002,5.75,SESSION,0.6293706293706254,False
ADAUSDT,1643705999999,2022-02-01T08:59:59.999000Z,1643706000000,2022-02-01T09:00:00Z,1643707799999,2022-02-01T09:29:59.999000Z,NORMAL,LONG,1.0620100000000001,1.05589,1.0760860000000003,1.05589,SL,-1.0,False
DOGEUSDT,1643705999999,2022-02-01T08:59:59.999000Z,1643706000000,2022-02-01T09:00:00Z,1643707799999,2022-02-01T09:29:59.999000Z,NORMAL,LONG,0.142971,0.142419,0.14424059999999997,0.14424059999999997,AMBIG->SL,-1.0,True
LTCUSDT,1643705999999,2022-02-01T08:59:59.999000Z,1643706000000,2022-02-01T09:00:00Z,1643709599999,2022-02-01T09:59:59.999000Z,NORMAL,LONG,111.39,110.78,112.793,110.78,SL,-1.0,False
ETCUSDT,1644829199999,2022-02-14T08:59:59.999000Z,1644829200000,2022-02-14T09:00:00Z,1644843599999,2022-02-14T12:59:59.999000Z,NORMAL,SHORT,31.335,31.751,30.3782,31.751,SL,-1.0,False
DOTUSDT,1644911999999,2022-02-15T07:59:59.999000Z,1644912000000,2022-02-15T08:00:00Z,1644920999999,2022-02-15T10:29:59.999000Z,NORMAL,LONG,19.394000000000002,19.239,19.750500000000006,19.750500000000006,TP,2.3,False
ETHUSDT,1644911999999,2022-02-15T07:59:59.999000Z,1644912000000,2022-02-15T08:00:00Z,1644935399999,2022-02-15T14:29:59.999000Z,NORMAL,LONG,3059.9500000000003,3033.0299999999997,3121.8660000000013,3121.8660000000013,TP,2.3,False
MKRUSDT,1644911999999,2022-02-15T07:59:59.999000Z,1644912000000,2022-02-15T08:00:00Z,1644915599999,2022-02-15T08:59:59.999000Z,NORMAL,LONG,1993.91,1984.29,2016.0360000000003,2016.0360000000003,TP,2.3,False
1000SHIBUSDT,1644913799999,2022-02-15T08:29:59.999000Z,1644913800000,2022-02-15T08:30:00Z,1644929999999,2022-02-15T12:59:59.999000Z,NORMAL,LONG,0.031287999999999996,0.030832,0.03233679999999999,0.030832,SL,-1.0,False
DASHUSDT,1644913799999,2022-02-15T08:29:59.999000Z,1644913800000,2022-02-15T08:30:00Z,1644960599999,2022-02-15T21:29:59.999000Z,NORMAL,LONG,107.50000000000001,106.53,109.73100000000005,107.51,EMA,0.010309278350505949,False
DOGEUSDT,1644913799999,2022-02-15T08:29:59.999000Z,1644913800000,2022-02-15T08:30:00Z,1644938999999,2022-02-15T15:29:59.999000Z,NORMAL,LONG,0.14996099999999998,0.148779,0.15267959999999997,0.148779,SL,-1.0,False
LINKUSDT,1644913799999,2022-02-15T08:29:59.999000Z,1644913800000,2022-02-15T08:30:00Z,1644940799999,2022-02-15T15:59:59.999000Z,NORMAL,LONG,16.587000000000003,16.395,17.02860000000001,17.02860000000001,TP,2.3,False
XLMUSDT,1644913799999,2022-02-15T08:29:59.999000Z,1644913800000,2022-02-15T08:30:00Z,1644947999999,2022-02-15T17:59:59.999000Z,NORMAL,LONG,0.21701000000000004,0.21527000000000002,0.22101200000000007,0.2169,EMA,-0.06321839080461238,False
ADAUSDT,1644920999999,2022-02-15T10:29:59.999000Z,1644921000000,2022-02-15T10:30:00Z,1644929999999,2022-02-15T12:59:59.999000Z,NORMAL,LONG,1.0914100000000002,1.08199,1.1130760000000006,1.08199,SL,-1.0,False
UNIUSDT,1644920999999,2022-02-15T10:29:59.999000Z,1644921000000,2022-02-15T10:30:00Z,1644926399999,2022-02-15T11:59:59.999000Z,NORMAL,LONG,11.0831,11.0129,11.24456,11.0129,SL,-1.0,False
ZECUSDT,1645021799999,2022-02-16T14:29:59.999000Z,1645021800000,2022-02-16T14:30:00Z,1645027199999,2022-02-16T15:59:59.999000Z,NORMAL,SHORT,119.86999999999999,121.23,116.74199999999996,121.23,SL,-1.0,False
BAKEUSDT,1645088399999,2022-02-17T08:59:59.999000Z,1645088400000,2022-02-17T09:00:00Z,1645109999999,2022-02-17T14:59:59.999000Z,NORMAL,SHORT,0.7119000000000001,0.722,0.6886700000000003,0.6886700000000003,TP,2.3,False
AAVEUSDT,1645108199999,2022-02-17T14:29:59.999000Z,1645108200000,2022-02-17T14:30:00Z,1645122599999,2022-02-17T18:29:59.999000Z,NORMAL,SHORT,160.869,162.871,156.26439999999997,156.26439999999997,TP,2.3,False
ETCUSDT,1645108199999,2022-02-17T14:29:59.999000Z,1645108200000,2022-02-17T14:30:00Z,1645115399999,2022-02-17T16:29:59.999000Z,NORMAL,SHORT,30.842,31.141000000000002,30.154299999999992,31.141000000000002,SL,-1.0,False
ETCUSDT,1645199999999,2022-02-18T15:59:59.999000Z,1645200000000,2022-02-18T16:00:00Z,1645210799999,2022-02-18T18:59:59.999000Z,NORMAL,SHORT,28.561999999999998,29.107000000000003,27.308499999999984,29.107000000000003,SL,-1.0,False
XLMUSDT,1645199999999,2022-02-18T15:59:59.999000Z,1645200000000,2022-02-18T16:00:00Z,1645226999999,2022-02-18T23:29:59.999000Z,NORMAL,SHORT,0.19822,0.20031000000000002,0.193413,0.20031000000000002,SL,-1.0,False
BNBUSDT,1645203599999,2022-02-18T16:59:59.999000Z,1645203600000,2022-02-18T17:00:00Z,1645214399999,2022-02-18T19:59:59.999000Z,NORMAL,SHORT,395.509,399.58099999999996,386.14340000000016,399.58099999999996,SL,-1.0,False
COTIUSDT,1645203599999,2022-02-18T16:59:59.999000Z,1645203600000,2022-02-18T17:00:00Z,1645226999999,2022-02-18T23:29:59.999000Z,NORMAL,SHORT,0.24787,0.25292000000000003,0.23625499999999994,0.24665,SESSION,0.24158415841584008,False
LPTUSDT,1645203599999,2022-02-18T16:59:59.999000Z,1645203600000,2022-02-18T17:00:00Z,1645205399999,2022-02-18T17:29:59.999000Z,NORMAL,SHORT,24.971999999999998,25.332,24.14399999999999,25.332,SL,-1.0,False
ZECUSDT,1645203599999,2022-02-18T16:59:59.999000Z,1645203600000,2022-02-18T17:00:00Z,1645226999999,2022-02-18T23:29:59.999000Z,NORMAL,SHORT,109.56,112.08000000000001,103.76399999999998,109.35,SESSION,0.08333333333333616,False
AVAXUSDT,1645428599999,2022-02-21T07:29:59.999000Z,1645428600000,2022-02-21T07:30:00Z,1645433999999,2022-02-21T08:59:59.999000Z,NORMAL,LONG,82.2201,80.9399,85.16456000000002,80.9399,SL,-1.0,False
COTIUSDT,1645428599999,2022-02-21T07:29:59.999000Z,1645428600000,2022-02-21T07:30:00Z,1645439399999,2022-02-21T10:29:59.999000Z,NORMAL,LONG,0.23122000000000004,0.22821,0.23814300000000013,0.22821,SL,-1.0,False
NEARUSDT,1645428599999,2022-02-21T07:29:59.999000Z,1645428600000,2022-02-21T07:30:00Z,1645437599999,2022-02-21T09:59:59.999000Z,NORMAL,LONG,9.7901,9.6179,10.186160000000001,9.6179,SL,-1.0,False
SANDUSDT,1645428599999,2022-02-21T07:29:59.999000Z,1645428600000,2022-02-21T07:30:00Z,1645433999999,2022-02-21T08:59:59.999000Z,NORMAL,LONG,3.39421,3.33759,3.5244360000000006,3.33759,SL,-1.0,False
COTIUSDT,1645603199999,2022-02-23T07:59:59.999000Z,1645603200000,2022-02-23T08:00:00Z,1645621199999,2022-02-23T12:59:59.999000Z,NORMAL,LONG,0.22246000000000002,0.21948,0.22931400000000005,0.22931400000000005,TP,2.3,False
ETHUSDT,1645603199999,2022-02-23T07:59:59.999000Z,1645603200000,2022-02-23T08:00:00Z,1645630199999,2022-02-23T15:29:59.999000Z,NORMAL,LONG,2697.3100000000004,2664.5099999999998,2772.750000000002,2686.67,EMA,-0.3243902439024427,False
MASKUSDT,1645603199999,2022-02-23T07:59:59.999000Z,1645603200000,2022-02-23T08:00:00Z,1645628399999,2022-02-23T14:59:59.999000Z,NORMAL,LONG,4.5361,4.4659,4.69756,4.527,EMA,-0.1296296296296315,False
MKRUSDT,1645603199999,2022-02-23T07:59:59.999000Z,1645603200000,2022-02-23T08:00:00Z,1645631999999,2022-02-23T15:59:59.999000Z,NORMAL,LONG,1846.01,1824.79,1894.816,1833.6,EMA,-0.5848256361922746,False
XLMUSDT,1645603199999,2022-02-23T07:59:59.999000Z,1645603200000,2022-02-23T08:00:00Z,1645608599999,2022-02-23T09:29:59.999000Z,NORMAL,LONG,0.18835000000000002,0.1862,0.19329500000000005,0.19329500000000005,TP,2.3,False
SANDUSDT,1645608599999,2022-02-23T09:29:59.999000Z,1645608600000,2022-02-23T09:30:00Z,1645613999999,2022-02-23T10:59:59.999000Z,NORMAL,LONG,3.2893100000000004,3.24779,3.384806000000001,3.24779,SL,-1.0,False
XRPUSDT,1645608599999,2022-02-23T09:29:59.999000Z,1645608600000,2022-02-23T09:30:00Z,1645628399999,2022-02-23T14:59:59.999000Z,NORMAL,LONG,0.7332000000000001,0.7253000000000001,0.7513700000000001,0.7253000000000001,SL,-1.0,False
AXSUSDT,1645808399999,2022-02-25T16:59:59.999000Z,1645808400000,2022-02-25T17:00:00Z,1645815599999,2022-02-25T18:59:59.999000Z,NORMAL,LONG,50.04001000000001,49.39999,51.51205600000002,49.39999,SL,-1.0,False
HBARUSDT,1645808399999,2022-02-25T16:59:59.999000Z,1645808400000,2022-02-25T17:00:00Z,1645810199999,2022-02-25T17:29:59.999000Z,NORMAL,LONG,0.22506000000000004,0.22322,0.2292920000000001,0.22322,SL,-1.0,False
LITUSDT,1646121599999,2022-03-01T07:59:59.999000Z,1646121600000,2022-03-01T08:00:00Z,1646130599999,2022-03-01T10:29:59.999000Z,NORMAL,LONG,1.516,1.493,1.5688999999999997,1.493,SL,-1.0,False
SOLUSDT,1647588599999,2022-03-18T07:29:59.999000Z,1647588600000,2022-03-18T07:30:00Z,1647613799999,2022-03-18T14:29:59.999000Z,T+1,SHORT,85.8899,86.6901,84.04943999999999,86.23,EMA,-0.425018745313678,False
ADAUSDT,1647860399999,2022-03-21T10:59:59.999000Z,1647860400000,2022-03-21T11:00:00Z,1647867599999,2022-03-21T12:59:59.999000Z,NORMAL,LONG,0.89971,0.8905900000000001,0.9206859999999998,0.8905900000000001,SL,-1.0,False
LPTUSDT,1647937799999,2022-03-22T08:29:59.999000Z,1647937800000,2022-03-22T08:30:00Z,1647961199999,2022-03-22T14:59:59.999000Z,NORMAL,LONG,27.814,27.489,28.5615,28.5615,TP,2.3,False
SKLUSDT,1647941399999,2022-03-22T09:29:59.999000Z,1647941400000,2022-03-22T09:30:00Z,1647952199999,2022-03-22T12:29:59.999000Z,NORMAL,LONG,0.13751000000000002,0.13569,0.14169600000000004,0.13569,SL,-1.0,False
TRBUSDT,1647959399999,2022-03-22T14:29:59.999000Z,1647959400000,2022-03-22T14:30:00Z,1647962999999,2022-03-22T15:29:59.999000Z,NORMAL,LONG,21.261000000000003,21.038999999999998,21.771600000000014,21.038999999999998,SL,-1.0,False
PEOPLEUSDT,1647961199999,2022-03-22T14:59:59.999000Z,1647961200000,2022-03-22T15:00:00Z,1647966599999,2022-03-22T16:29:59.999000Z,NORMAL,LONG,0.0675,0.06649000000000001,0.069823,0.06649000000000001,SL,-1.0,False
DASHUSDT,1648049399999,2022-03-23T15:29:59.999000Z,1648049400000,2022-03-23T15:30:00Z,1648052999999,2022-03-23T16:29:59.999000Z,NORMAL,LONG,136.35,134.70000000000002,140.14499999999995,134.70000000000002,SL,-1.0,False
XMRUSDT,1648110599999,2022-03-24T08:29:59.999000Z,1648110600000,2022-03-24T08:30:00Z,1648117799999,2022-03-24T10:29:59.999000Z,NORMAL,LONG,197.94,196.84,200.46999999999997,200.46999999999997,TP,2.3,False
AAVEUSDT,1648202399999,2022-03-25T09:59:59.999000Z,1648202400000,2022-03-25T10:00:00Z,1648211399999,2022-03-25T12:29:59.999000Z,NORMAL,LONG,173.431,170.809,179.46160000000003,170.809,SL,-1.0,False
AVAXUSDT,1648479599999,2022-03-28T14:59:59.999000Z,1648479600000,2022-03-28T15:00:00Z,1648484999999,2022-03-28T16:29:59.999000Z,NORMAL,LONG,93.87010000000001,92.5399,96.92956000000002,92.5399,SL,-1.0,False
SNXUSDT,1649152799999,2022-04-05T09:59:59.999000Z,1649152800000,2022-04-05T10:00:00Z,1649158199999,2022-04-05T11:29:59.999000Z,NORMAL,SHORT,6.7299999999999995,6.813000000000001,6.539099999999997,6.813000000000001,SL,-1.0,False
BCHUSDT,1649257199999,2022-04-06T14:59:59.999000Z,1649257200000,2022-04-06T15:00:00Z,1649269799999,2022-04-06T18:29:59.999000Z,NORMAL,SHORT,344.29,347.21,337.5740000000001,347.21,SL,-1.0,False
CRVUSDT,1649257199999,2022-04-06T14:59:59.999000Z,1649257200000,2022-04-06T15:00:00Z,1649269799999,2022-04-06T18:29:59.999000Z,NORMAL,SHORT,2.615,2.654,2.525300000000001,2.525300000000001,TP,2.3,False
DOTUSDT,1649257199999,2022-04-06T14:59:59.999000Z,1649257200000,2022-04-06T15:00:00Z,1649260799999,2022-04-06T15:59:59.999000Z,NORMAL,SHORT,20.557,20.754,20.103899999999992,20.103899999999992,TP,2.3,False
ETHUSDT,1649258999999,2022-04-06T15:29:59.999000Z,1649259000000,2022-04-06T15:30:00Z,1649260799999,2022-04-06T15:59:59.999000Z,NORMAL,SHORT,3222.14,3260.01,3135.038999999999,3260.01,SL,-1.0,False
FILUSDT,1649258999999,2022-04-06T15:29:59.999000Z,1649259000000,2022-04-06T15:30:00Z,1649269799999,2022-04-06T18:29:59.999000Z,NORMAL,SHORT,23.089,23.545,22.04019999999999,22.04019999999999,TP,2.3,False
ONTUSDT,1649258999999,2022-04-06T15:29:59.999000Z,1649259000000,2022-04-06T15:30:00Z,1649287799999,2022-04-06T23:29:59.999000Z,NORMAL,SHORT,0.5678000000000001,0.5770000000000001,0.5466400000000001,0.5607,SESSION,0.7717391304347954,False
SANDUSDT,1649258999999,2022-04-06T15:29:59.999000Z,1649259000000,2022-04-06T15:30:00Z,1649262599999,2022-04-06T16:29:59.999000Z,NORMAL,SHORT,3.0150900000000003,3.0671100000000004,2.895444,3.0671100000000004,SL,-1.0,False
XRPUSDT,1649258999999,2022-04-06T15:29:59.999000Z,1649259000000,2022-04-06T15:30:00Z,1649262599999,2022-04-06T16:29:59.999000Z,NORMAL,SHORT,0.7719,0.7809,0.7512,0.7809,SL,-1.0,False
QTUMUSDT,1649262599999,2022-04-06T16:29:59.999000Z,1649262600000,2022-04-06T16:30:00Z,1649269799999,2022-04-06T18:29:59.999000Z,NORMAL,SHORT,6.986,7.143000000000001,6.624899999999998,7.143000000000001,SL,-1.0,False
AAVEUSDT,1649408399999,2022-04-08T08:59:59.999000Z,1649408400000,2022-04-08T09:00:00Z,1649422799999,2022-04-08T12:59:59.999000Z,NORMAL,SHORT,196.009,198.14100000000002,191.10539999999992,191.10539999999992,TP,2.3,False
FILUSDT,1650272399999,2022-04-18T08:59:59.999000Z,1650272400000,2022-04-18T09:00:00Z,1650275999999,2022-04-18T09:59:59.999000Z,NORMAL,SHORT,18.735,18.918000000000003,18.314099999999993,18.918000000000003,SL,-1.0,False
BNBUSDT,1650355199999,2022-04-19T07:59:59.999000Z,1650355200000,2022-04-19T08:00:00Z,1650362399999,2022-04-19T09:59:59.999000Z,NORMAL,LONG,422.341,419.40900000000005,429.0845999999999,419.40900000000005,SL,-1.0,False
AAVEUSDT,1650365999999,2022-04-19T10:59:59.999000Z,1650366000000,2022-04-19T11:00:00Z,1650369599999,2022-04-19T11:59:59.999000Z,NORMAL,LONG,172.191,170.149,176.88760000000002,170.149,SL,-1.0,False
1000SHIBUSDT,1650443399999,2022-04-20T08:29:59.999000Z,1650443400000,2022-04-20T08:30:00Z,1650455999999,2022-04-20T11:59:59.999000Z,NORMAL,LONG,0.025496,0.025387999999999997,0.02574440000000001,0.02574440000000001,TP,2.3,False
LINKUSDT,1650443399999,2022-04-20T08:29:59.999000Z,1650443400000,2022-04-20T08:30:00Z,1650450599999,2022-04-20T10:29:59.999000Z,NORMAL,LONG,14.35,14.257000000000001,14.563899999999995,14.257000000000001,SL,-1.0,False
SNXUSDT,1650616199999,2022-04-22T08:29:59.999000Z,1650616200000,2022-04-22T08:30:00Z,1650670199999,2022-04-22T23:29:59.999000Z,NORMAL,SHORT,5.702,5.841,5.382299999999999,5.455,SESSION,1.7769784172661833,False
AVAXUSDT,1650639599999,2022-04-22T14:59:59.999000Z,1650639600000,2022-04-22T15:00:00Z,1650641399999,2022-04-22T15:29:59.999000Z,NORMAL,SHORT,73.7999,74.4701,72.25843999999998,74.4701,SL,-1.0,False
AVAXUSDT,1650643199999,2022-04-22T15:59:59.999000Z,1650643200000,2022-04-22T16:00:00Z,1650644999999,2022-04-22T16:29:59.999000Z,NORMAL,SHORT,73.4999,74.18010000000001,71.93543999999997,74.18010000000001,SL,-1.0,False
COTIUSDT,1650871799999,2022-04-25T07:29:59.999000Z,1650871800000,2022-04-25T07:30:00Z,1650886199999,2022-04-25T11:29:59.999000Z,NORMAL,SHORT,0.19863,0.20255000000000004,0.18961399999999992,0.20255000000000004,SL,-1.0,False
DOGEUSDT,1650875399999,2022-04-25T08:29:59.999000Z,1650875400000,2022-04-25T08:30:00Z,1650880799999,2022-04-25T09:59:59.999000Z,NORMAL,SHORT,0.123679,0.124361,0.1221104,0.124361,SL,-1.0,False
RUNEUSDT,1650877199999,2022-04-25T08:59:59.999000Z,1650877200000,2022-04-25T09:00:00Z,1650880799999,2022-04-25T09:59:59.999000Z,NORMAL,SHORT,7.352900000000001,7.4681,7.087940000000003,7.4681,SL,-1.0,False
LITUSDT,1650965399999,2022-04-26T09:29:59.999000Z,1650965400000,2022-04-26T09:30:00Z,1650977999999,2022-04-26T12:59:59.999000Z,NORMAL,LONG,1.3539999999999999,1.3410000000000002,1.383899999999999,1.3410000000000002,SL,-1.0,False
XMRUSDT,1651139999999,2022-04-28T09:59:59.999000Z,1651140000000,2022-04-28T10:00:00Z,1651141799999,2022-04-28T10:29:59.999000Z,NORMAL,LONG,237.46,235.20000000000002,242.658,235.20000000000002,SL,-1.0,False
TRXUSDT,1651510799999,2022-05-02T16:59:59.999000Z,1651510800000,2022-05-02T17:00:00Z,1651519799999,2022-05-02T19:29:59.999000Z,NORMAL,SHORT,0.06493000000000002,0.06614,0.06214700000000004,0.06614,SL,-1.0,False
TRBUSDT,1652695199999,2022-05-16T09:59:59.999000Z,1652695200000,2022-05-16T10:00:00Z,1652696999999,2022-05-16T10:29:59.999000Z,NORMAL,SHORT,9.829,10.030999999999999,9.364400000000005,10.030999999999999,SL,-1.0,False
UNIUSDT,1652695199999,2022-05-16T09:59:59.999000Z,1652695200000,2022-05-16T10:00:00Z,1652696999999,2022-05-16T10:29:59.999000Z,NORMAL,SHORT,4.9469,5.0091,4.803840000000001,5.0091,SL,-1.0,False
DOTUSDT,1652862599999,2022-05-18T08:29:59.999000Z,1652862600000,2022-05-18T08:30:00Z,1652885999999,2022-05-18T14:59:59.999000Z,NORMAL,SHORT,10.361,10.526,9.981500000000002,9.981500000000002,TP,2.3,False
DASHUSDT,1653044399999,2022-05-20T10:59:59.999000Z,1653044400000,2022-05-20T11:00:00Z,1653046199999,2022-05-20T11:29:59.999000Z,NORMAL,LONG,59.79,59.25,61.032,59.25,SL,-1.0,False
COTIUSDT,1655735399999,2022-06-20T14:29:59.999000Z,1655735400000,2022-06-20T14:30:00Z,1655744399999,2022-06-20T16:59:59.999000Z,NORMAL,LONG,0.09132,0.08969,0.09506899999999999,0.08969,SL,-1.0,False
SOLUSDT,1655735399999,2022-06-20T14:29:59.999000Z,1655735400000,2022-06-20T14:30:00Z,1655738999999,2022-06-20T15:29:59.999000Z,NORMAL,LONG,36.01010000000001,35.2599,37.73556000000002,35.2599,SL,-1.0,False
