symbol,signal_ms,signal_iso,entry_iso,exit_iso,side,tclass,tlabels,e,s,t,exit_price,reason,R
SOLUSDT,1612886399999,2021-02-09T15:59:59.999000Z,2021-02-09T16:00:00Z,2021-02-09T18:29:59.999000Z,SHORT,T-1,T-1,7.7081,7.8133,7.46614,7.8133,SL,-1.0
SOLUSDT,1613408399999,2021-02-15T16:59:59.999000Z,2021-02-15T17:00:00Z,2021-02-15T18:59:59.999000Z,LONG,NORMAL,,9.0748,8.9929,9.263169999999997,9.263169999999997,TP,2.3
SOLUSDT,1613491199999,2021-02-16T15:59:59.999000Z,2021-02-16T16:00:00Z,2021-02-16T16:59:59.999000Z,SHORT,NORMAL,,8.3854,8.522,8.071220000000002,8.071220000000002,TP,2.3
SOLUSDT,1618167599999,2021-04-11T18:59:59.999000Z,2021-04-11T19:00:00Z,2021-04-11T22:29:59.999000Z,LONG,T-1,T-1,28.3085,28.063200000000002,28.87268999999999,28.063200000000002,SL,-1.0
SOLUSDT,1623234599999,2021-06-09T10:29:59.999000Z,2021-06-09T10:30:00Z,2021-06-09T13:29:59.999000Z,LONG,T-1,T-1,43.310100000000006,42.299899999999994,45.63356000000003,42.299899999999994,SL,-1.0
SOLUSDT,1628101799999,2021-08-04T18:29:59.999000Z,2021-08-04T18:30:00Z,2021-08-04T23:29:59.999000Z,LONG,T-1,T-1,36.039100000000005,35.5199,37.233260000000016,36.076,SESSION,0.07107087827425916
SOLUSDT,1628783999999,2021-08-12T15:59:59.999000Z,2021-08-12T16:00:00Z,2021-08-12T17:29:59.999000Z,SHORT,T+1,T+1,39.793899999999994,40.243100000000005,38.76073999999997,40.243100000000005,SL,-1.0
SOLUSDT,1647365399999,2022-03-15T17:29:59.999000Z,2022-03-15T17:30:00Z,2022-03-15T18:29:59.999000Z,LONG,T-1,T-1,81.93010000000001,81.5299,82.85056000000004,82.85056000000004,TP,2.3
SOLUSDT,1647588599999,2022-03-18T07:29:59.999000Z,2022-03-18T07:30:00Z,2022-03-18T14:29:59.999000Z,SHORT,T+1,T+1,85.8899,86.6901,84.04943999999999,86.23,EMA,-0.42501874531367795
SOLUSDT,1655735399999,2022-06-20T14:29:59.999000Z,2022-06-20T14:30:00Z,2022-06-20T15:29:59.999000Z,LONG,NORMAL,,36.0101,35.259899999999995,37.735560000000014,35.259899999999995,SL,-1.0
SOLUSDT,1663945199999,2022-09-23T14:59:59.999000Z,2022-09-23T15:00:00Z,2022-09-23T15:29:59.999000Z,SHORT,T+1,T+1,31.3699,31.6601,30.702440000000003,31.6601,SL,-1.0
SOLUSDT,1666002599999,2022-10-17T10:29:59.999000Z,2022-10-17T10:30:00Z,2022-10-17T13:59:59.999000Z,LONG,NORMAL,,30.6201,30.3899,31.14956,31.14956,TP,2.3
SOLUSDT,1667208599999,2022-10-31T09:29:59.999000Z,2022-10-31T09:30:00Z,2022-10-31T13:59:59.999000Z,LONG,NORMAL,,33.6901,33.179899999999996,34.863560000000014,33.179899999999996,SL,-1.0
SOLUSDT,1667980799999,2022-11-09T07:59:59.999000Z,2022-11-09T08:00:00Z,2022-11-09T08:59:59.999000Z,SHORT,T-1,T-1,18.0499,19.2601,15.26644,15.26644,TP,2.3
SOLUSDT,1669111199999,2022-11-22T09:59:59.999000Z,2022-11-22T10:00:00Z,2022-11-22T13:29:59.999000Z,SHORT,NORMAL,,11.2109,11.3661,10.853940000000003,11.3661,SL,-1.0
SOLUSDT,1678892399999,2023-03-15T14:59:59.999000Z,2023-03-15T15:00:00Z,2023-03-15T16:59:59.999000Z,SHORT,T+1,T+1,19.8029,20.2771,18.71224,18.71224,TP,2.3
SOLUSDT,1689019199999,2023-07-10T19:59:59.999000Z,2023-07-10T20:00:00Z,2023-07-10T20:59:59.999000Z,LONG,T-1,T-1,21.6191,21.3569,22.22216,21.3569,SL,-1.0
SOLUSDT,1695027599999,2023-09-18T08:59:59.999000Z,2023-09-18T09:00:00Z,2023-09-18T09:59:59.999000Z,LONG,NORMAL,,19.1581,19.076900000000002,19.344859999999997,19.344859999999997,TP,2.3
SOLUSDT,1697727599999,2023-10-19T14:59:59.999000Z,2023-10-19T15:00:00Z,2023-10-19T16:29:59.999000Z,LONG,NORMAL,,24.4941,24.2129,25.140859999999996,25.140859999999996,TP,2.3
SOLUSDT,1704124799999,2024-01-01T15:59:59.999000Z,2024-01-01T16:00:00Z,2024-01-01T23:29:59.999000Z,LONG,NORMAL,,106.5001,105.0249,109.89306,109.102,SESSION,1.7637608459869842
SOLUSDT,1726619399999,2024-09-18T00:29:59.999000Z,2024-09-18T00:30:00Z,2024-09-18T02:59:59.999000Z,SHORT,T-1,T-1,130.4579,131.5871,127.86074,131.5871,SL,-1.0
SOLUSDT,1727778599999,2024-10-01T10:29:59.999000Z,2024-10-01T10:30:00Z,2024-10-01T11:59:59.999000Z,LONG,NORMAL,,157.0591,156.4459,158.46946000000003,156.4459,SL,-1.0
SOLUSDT,1730822399999,2024-11-05T15:59:59.999000Z,2024-11-05T16:00:00Z,2024-11-05T19:59:59.999000Z,LONG,NORMAL,,166.1401,164.5199,169.86655999999994,164.5199,SL,-1.0
