symbol,signal_ms,signal_iso,entry_iso,exit_iso,side,tclass,tlabels,e,s,t,exit_price,reason,R
SOLUSDT,1674694799999,2023-01-26T00:59:59.999000Z,2023-01-26T01:00:00Z,2023-01-26T06:29:59.999000Z,LONG,NORMAL,,24.827,24.427999999999997,25.744700000000012,24.427999999999997,SL,-1.0
SOLUSDT,1677563999999,2023-02-28T05:59:59.999000Z,2023-02-28T06:00:00Z,2023-02-28T12:59:59.999000Z,SHORT,NORMAL,,22.206,22.439,21.670099999999998,22.439,SL,-1.0
SOLUSDT,1678892399999,2023-03-15T14:59:59.999000Z,2023-03-15T15:00:00Z,2023-03-15T16:59:59.999000Z,SHORT,T+1,T+1,19.802,20.278000000000002,18.707199999999993,18.707199999999993,TP,2.3
SOLUSDT,1680611399999,2023-04-04T12:29:59.999000Z,2023-04-04T12:30:00Z,2023-04-04T12:59:59.999000Z,LONG,NORMAL,,21.150000000000002,20.965,21.57550000000001,20.965,SL,-1.0
SOLUSDT,1682405999999,2023-04-25T06:59:59.999000Z,2023-04-25T07:00:00Z,2023-04-25T13:29:59.999000Z,SHORT,NORMAL,,20.948999999999998,21.088,20.62929999999999,21.088,SL,-1.0
SOLUSDT,1682468999999,2023-04-26T00:29:59.999000Z,2023-04-26T00:30:00Z,2023-04-26T00:59:59.999000Z,LONG,NORMAL,,22.051000000000002,21.808999999999997,22.607600000000012,21.808999999999997,SL,-1.0
SOLUSDT,1688090399999,2023-06-30T01:59:59.999000Z,2023-06-30T02:00:00Z,2023-06-30T12:59:59.999000Z,LONG,NORMAL,,18.581,18.221,19.409,19.409,TP,2.3
SOLUSDT,1689019199999,2023-07-10T19:59:59.999000Z,2023-07-10T20:00:00Z,2023-07-10T20:59:59.999000Z,LONG,T-1,T-1,21.62,21.355999999999998,22.227200000000007,21.355999999999998,SL,-1.0
SOLUSDT,1691582399999,2023-08-09T11:59:59.999000Z,2023-08-09T12:00:00Z,2023-08-09T12:29:59.999000Z,LONG,T-1,T-1,24.891000000000002,24.724999999999998,25.27280000000001,24.724999999999998,SL,-1.0
SOLUSDT,1692937799999,2023-08-25T04:29:59.999000Z,2023-08-25T04:30:00Z,2023-08-25T11:29:59.999000Z,SHORT,NORMAL,,20.512,20.753,19.957700000000003,20.753,SL,-1.0
SOLUSDT,1694125799999,2023-09-07T22:29:59.999000Z,2023-09-07T22:30:00Z,2023-09-07T23:29:59.999000Z,LONG,NORMAL,,19.93,19.794,20.2428,19.794,SL,-1.0
SOLUSDT,1695027599999,2023-09-18T08:59:59.999000Z,2023-09-18T09:00:00Z,2023-09-18T09:59:59.999000Z,LONG,NORMAL,,19.159000000000002,19.076,19.349900000000005,19.349900000000005,TP,2.3
SOLUSDT,1697727599999,2023-10-19T14:59:59.999000Z,2023-10-19T15:00:00Z,2023-10-19T16:29:59.999000Z,LONG,NORMAL,,24.495,24.212,25.145900000000005,25.145900000000005,TP,2.3
SOLUSDT,1697777999999,2023-10-20T04:59:59.999000Z,2023-10-20T05:00:00Z,2023-10-20T08:29:59.999000Z,LONG,NORMAL,,26.137,25.817,26.873,26.873,TP,2.3
SOLUSDT,1702951199999,2023-12-19T01:59:59.999000Z,2023-12-19T02:00:00Z,2023-12-19T03:29:59.999000Z,LONG,NORMAL,,75.90100000000001,74.866,78.28150000000004,74.866,SL,-1.0
SOLUSDT,1704124799999,2024-01-01T15:59:59.999000Z,2024-01-01T16:00:00Z,2024-01-01T23:29:59.999000Z,LONG,NORMAL,,106.501,105.024,109.89810000000001,109.102,SESSION,1.7610020311442058
SOLUSDT,1711349999999,2024-03-25T06:59:59.999000Z,2024-03-25T07:00:00Z,2024-03-25T07:59:59.999000Z,LONG,NORMAL,,188.541,186.102,194.15069999999997,186.102,SL,-1.0
SOLUSDT,1713529799999,2024-04-19T12:29:59.999000Z,2024-04-19T12:30:00Z,2024-04-19T13:29:59.999000Z,LONG,NORMAL,,144.946,142.911,149.6265,142.911,SL,-1.0
SOLUSDT,1713832199999,2024-04-23T00:29:59.999000Z,2024-04-23T00:30:00Z,2024-04-23T03:59:59.999000Z,LONG,NORMAL,,158.171,156.457,162.11319999999998,156.457,SL,-1.0
SOLUSDT,1716758999999,2024-05-26T21:29:59.999000Z,2024-05-26T21:30:00Z,2024-05-26T21:59:59.999000Z,SHORT,NORMAL,,161.543,162.405,159.56040000000002,162.405,SL,-1.0
SOLUSDT,1724129999999,2024-08-20T04:59:59.999000Z,2024-08-20T05:00:00Z,2024-08-20T11:29:59.999000Z,LONG,NORMAL,,147.358,145.733,151.09550000000002,145.733,SL,-1.0
SOLUSDT,1724327999999,2024-08-22T11:59:59.999000Z,2024-08-22T12:00:00Z,2024-08-22T12:59:59.999000Z,LONG,NORMAL,,144.723,143.649,147.19320000000005,143.649,SL,-1.0
