ticker,issuer,snapshot_date,snapshot_value,snapshot_pct,cusip,source_accession
BRK-B,"Berkshire Hathaway Inc Class B",2022-05-31,5539445.38,6.454629800957,084670702,0001752724-22-170575
GOOGL,"Alphabet Inc Class A",2022-05-31,5537934.16,6.452868908850,02079K305,0001752724-22-170575
GOOG,"Alphabet Inc Class C",2022-05-31,5207020.74,6.067284527067,02079K107,0001752724-22-170575
XOM,"Exxon Mobil Corp",2022-05-31,4604256.00,5.364935647914,30231G102,0001752724-22-170575
UNH,"UnitedHealth Group Inc",2022-05-31,4351296.02,5.070183571966,91324P102,0001752724-22-170575
NVDA,"NVIDIA Corp",2022-05-31,3597534.24,4.191891087022,67066G104,0001752724-22-170575
CVX,"Chevron Corp",2022-05-31,3579307.38,4.170652925859,166764100,0001752724-22-170575
PG,"Procter & Gamble Co",2022-05-31,2839000.24,3.308037952714,742718109,0001752724-22-170575
BAC,"Bank of America Corp",2022-05-31,2494557.60,2.906689157600,060505104,0001752724-22-170575
PFE,"Pfizer Inc",2022-05-31,2283531.12,2.660798510945,717081103,0001752724-22-170575
KO,"Coca-Cola Co",2022-05-31,2219250.70,2.585898175967,191216100,0001752724-22-170575
COP,"ConocoPhillips",2022-05-31,2199334.64,2.562691738215,20825C104,0001752724-22-170575
ABBV,"AbbVie Inc",2022-05-31,2192423.49,2.554638781341,00287Y109,0001752724-22-170575
PEP,"PepsiCo Inc",2022-05-31,2055440.75,2.395024810056,713448108,0001752724-22-170575
COST,"Costco Wholesale Corp",2022-05-31,1856021.82,2.162659423243,22160K105,0001752724-22-170575
WFC,"Wells Fargo & Co",2022-05-31,1840411.70,2.144470319671,949746101,0001752724-22-170575
ACN,"Accenture PLC Class A",2022-05-31,1728083.40,2.013584004718,G1151C101,0001752724-22-170575
