ticker,snapshot_value,snapshot_pct,source_accession
XOM,19060517,9.530041,0001752724-23-017322
BRK-B,14137238,7.069199,0001752724-23-017322
CVX,13560357,6.780735,0001752724-23-017322
UNH,12559589,6.280310,0001752724-23-017322
JNJ,11310120,5.655524,0001752724-23-017322
LLY,6953668,3.477119,0001752724-23-017322
PFE,6780985,3.390771,0001752724-23-017322
MRK,6728442,3.364497,0001752724-23-017322
BAC,6605809,3.303176,0001752724-23-017322
COP,5923293,2.961890,0001752724-23-017322
PEP,5511873,2.756163,0001752724-23-017322
KO,5478220,2.739337,0001752724-23-017322
COST,5469613,2.735033,0001752724-23-017322
