ticker,issuer,snapshot_date,snapshot_value,snapshot_pct,source_accession
NVDA,"NVIDIA Corp",2025-05-31,740562533.23,9.317238004059,0001752724-25-180531
META,"Meta Platforms Inc Class A",2025-05-31,663072494.34,8.342312723769,0001752724-25-180531
AMZN,"Amazon.com Inc",2025-05-31,661161965.23,8.318275787477,0001752724-25-180531
AVGO,"Broadcom Inc",2025-05-31,430036386.72,5.410415982024,0001752724-25-180531
TSLA,"Tesla Inc",2025-05-31,412587434.36,5.190885510572,0001752724-25-180531
JPM,"JPMorgan Chase & Co",2025-05-31,399639768.00,5.027987060191,0001752724-25-180531
WMT,"Walmart Inc",2025-05-31,379417387.68,4.773563264772,0001752724-25-180531
NFLX,"Netflix Inc",2025-05-31,289638621.60,3.644029844238,0001752724-25-180531
PLTR,"Palantir Technologies Inc Class A",2025-05-31,239214699.24,3.009631444852,0001752724-25-180531
GE,"General Electric Co",2025-05-31,173436880.26,2.182061094849,0001752724-25-180531
