snapshot_date,rebalance_anchor,source_type,accession,source_url,series_id,status,notes
2019-05-31,2019-03-15,NPORT-EX,0001752724-19-086759,https://www.sec.gov/Archives/edgar/data/1378872/000175272419086759/ETF_Trust_II.htm,S000050154,verified,"SEC filing index explicitly lists S000050154/SPMO; trust Schedule of Investments dated May 31 2019"
2020-05-31,2020-03-20,NPORT-P,0001752724-20-148736,https://www.sec.gov/Archives/edgar/data/1378872/0001752724-20-148736-index.htm,S000050154,verified,"Primary N-PORT; SPMO series confirmed"
2020-11-30,2020-09-18,NPORT-EX,0001752724-21-016360,https://www.sec.gov/Archives/edgar/data/1378872/000175272421016360/edgar.htm,S000050154,verified,"Schedule of Investments contains SPMO section"
2021-08-31,2021-09-17,NPORT-P,0001752724-21-231935,https://www.sec.gov/Archives/edgar/data/1378872/0001752724-21-231935-index.htm,S000050154,verified-crosscheck,"Pre-Sep-rebalance snapshot; cross-check only, not post-rebalance cache"
2022-05-31,2022-03-18,NPORT-P,0001752724-22-170575,https://www.sec.gov/Archives/edgar/data/1378872/000175272422170575/0001752724-22-170575-index.html,S000050154,verified,"Exact SPMO NPORT-P; report date 2022-05-31"
2022-11-30,2022-09-16,NPORT-EX,0001752724-23-017322,https://www.sec.gov/Archives/edgar/data/1378872/000175272423017322/edgar.htm,S000050154,verified,"Schedule of Investments contains SPMO section and net assets"
2023-11-30,2023-09-15,NPORT-EX,0001752724-24-016913,https://www.sec.gov/Archives/edgar/data/1378872/000175272424016913/edgar.htm,S000050154,verified,"Schedule of Investments contains SPMO section"
2024-05-31,2024-03-15,NPORT-EX,0001752724-24-169058,https://www.sec.gov/Archives/edgar/data/1378872/000175272424169058/edgar.htm,S000050154,verified,"Schedule of Investments contains SPMO section"
2024-11-30,2024-09-20,NPORT-P,0001752724-25-017721,https://www.sec.gov/Archives/edgar/data/1378872/000175272425017721/0001752724-25-017721-index.htm,S000050154,verified,"Primary N-PORT; SPMO series confirmed"
2025-05-31,2025-03-21,NPORT-P,0001752724-25-180531,https://www.sec.gov/Archives/edgar/data/1378872/0001752724-25-180531-index.htm,S000050154,verified,"Primary N-PORT; SPMO series confirmed"
2025-11-30,2025-09-19,NPORT-EX,0001378872-26-000296,https://www.sec.gov/Archives/edgar/data/1378872/000137887226000296/edgar.htm,S000050154,verified,"Schedule of Investments contains SPMO section dated Nov 30 2025"
