tf,side,signal_time,entry_time,exit_time,signal_high,signal_low,entry,stop,target,exit_price,exit_reason,canon_r,risk_cash,qty,ambiguous
5,LONG,2026-07-27T05:55:00Z,2026-07-27T05:55:00Z,2026-07-27T05:55:00Z,575.23,574.94,575.24,574.9300000000001,575.9529999999999,575.96,TP,2.3,999.9979999998241,3225.8,False
5,SHORT,2026-07-27T10:05:00Z,2026-07-27T10:05:00Z,2026-07-27T10:20:00Z,573.05,572.53,572.52,573.0600000000001,571.2779999999998,573.0600000000001,SL,-1.0,1022.9976000001465,1894.44,False
5,LONG,2026-07-28T12:45:00Z,2026-07-28T12:45:00Z,2026-07-28T13:25:00Z,568.33,567.73,568.34,567.72,569.7660000000001,567.72,SL,-1.0,1012.7638000000074,1633.49,False
5,LONG,2026-07-30T15:20:00Z,2026-07-30T15:20:00Z,2026-07-30T16:00:00Z,590.17,589.49,590.1800000000001,589.48,591.7900000000002,591.79,TP,2.3,1002.6380000000651,1432.34,False
5,SHORT,2026-08-03T04:10:00Z,2026-08-03T04:10:00Z,2026-08-03T04:20:00Z,584.54,583.87,583.86,584.5500000000001,582.2729999999999,584.5500000000001,SL,-1.0,1025.698800000081,1486.52,False
5,LONG,2026-08-05T02:40:00Z,2026-08-05T02:40:00Z,2026-08-05T03:00:00Z,603.97,603.18,603.98,603.17,605.8430000000002,603.17,SL,-1.0,1015.4403000000742,1253.63,False
5,SHORT,2026-08-05T10:00:00Z,2026-08-05T10:00:00Z,2026-08-05T10:00:00Z,598.95,598.58,598.57,598.96,597.6730000000001,597.67,TP,2.3,1005.2912999999648,2577.67,False
5,LONG,2026-08-08T03:45:00Z,2026-08-08T03:45:00Z,2026-08-08T03:55:00Z,593.39,593.16,593.4,593.15,593.975,593.98,TP,2.3,1028.4125,4113.65,False
5,LONG,2026-08-08T04:35:00Z,2026-08-08T04:35:00Z,2026-08-08T05:50:00Z,593.7,593.34,593.71,593.33,594.5840000000001,593.33,SL,-1.0,1052.0641999999875,2768.59,False
5,SHORT,2026-08-08T19:05:00Z,2026-08-08T19:05:00Z,2026-08-08T21:30:00Z,604.22,603.57,603.5600000000001,604.23,602.0190000000001,603.01,EMA,0.8208955223882117,1041.5417999999363,1554.54,False
5,SHORT,2026-08-12T03:20:00Z,2026-08-12T03:20:00Z,2026-08-12T04:05:00Z,616.21,615.38,615.37,616.22,613.415,613.41,TP,2.3,1050.090000000028,1235.4,False
5,LONG,2026-08-13T19:35:00Z,2026-08-13T19:35:00Z,2026-08-13T20:15:00Z,609.95,609.51,609.96,609.5,611.0180000000001,611.02,TP,2.3,1074.247200000085,2335.32,False
5,SHORT,2026-08-14T10:40:00Z,2026-08-14T10:40:00Z,2026-08-14T11:05:00Z,606.77,606.41,606.4,606.78,605.526,605.52,TP,2.3,1098.952399999987,2891.98,False
5,SHORT,2026-08-16T04:10:00Z,2026-08-16T04:10:00Z,2026-08-16T05:30:00Z,606.72,606.45,606.44,606.73,605.7730000000001,606.73,SL,-1.0,1124.231399999859,3876.66,False
