tf,side,signal_time,entry_time,exit_time,signal_high,signal_low,entry,stop,target,exit_price,exit_reason,canon_r,risk_cash,qty,ambiguous
5,SHORT,2026-07-27T18:10:00Z,2026-07-27T18:10:00Z,2026-07-27T18:15:00Z,0.32841,0.32826,0.32825000000000004,0.32842000000000005,0.327859,0.32785000000000003,TP,2.3,999.9998400000205,5882352.0,False
5,LONG,2026-07-28T08:20:00Z,2026-07-28T08:20:00Z,2026-07-28T08:35:00Z,0.32519,0.32506,0.32520000000000004,0.32505,0.32554500000000014,0.32555,TP,2.3,1022.999850000266,6819999.0,False
5,LONG,2026-07-29T10:25:00Z,2026-07-29T10:25:00Z,2026-07-29T10:35:00Z,0.32621,0.32612,0.32622,0.32611,0.326473,0.32648000000000005,TP,2.3,1046.5288899999903,9513899.0,False
5,SHORT,2026-07-29T16:00:00Z,2026-07-29T16:00:00Z,2026-07-29T16:05:00Z,0.32623,0.32616,0.32615000000000005,0.32624000000000003,0.3259430000000001,0.32624000000000003,SL,-1.0,1070.59913999975,11895546.0,False
5,SHORT,2026-08-03T06:15:00Z,2026-08-03T06:15:00Z,2026-08-03T06:55:00Z,0.3258,0.3257,0.32569000000000004,0.32581000000000004,0.32541400000000004,0.32581000000000004,SL,-1.0,1059.8931600000794,8832443.0,False
5,LONG,2026-08-05T08:15:00Z,2026-08-05T08:15:00Z,2026-08-05T08:45:00Z,0.32716,0.327,0.32717,0.32699,0.32758400000000004,0.32759000000000005,TP,2.3,1049.2941600000786,5829412.0,False
5,LONG,2026-08-05T10:55:00Z,2026-08-05T10:55:00Z,2026-08-05T11:00:00Z,0.32842,0.32825,0.32843,0.32824000000000003,0.3288669999999999,0.32887000000000005,TP,2.3,1073.4279899998191,5649621.0,False
5,SHORT,2026-08-06T17:40:00Z,2026-08-06T17:40:00Z,2026-08-06T18:35:00Z,0.32693,0.32676,0.32675000000000004,0.32694,0.32631300000000013,0.32694,SL,-1.0,1098.116779999815,5779562.0,False
5,LONG,2026-08-07T15:15:00Z,2026-08-07T15:15:00Z,2026-08-07T15:20:00Z,0.32828,0.32813,0.32829,0.32812,0.32868100000000006,0.32812,SL,-1.0,1087.1355500000222,6394915.0,False
5,LONG,2026-08-10T13:00:00Z,2026-08-10T13:00:00Z,2026-08-10T13:30:00Z,0.33177,0.3316,0.33178,0.33159000000000005,0.33221699999999993,0.33159000000000005,SL,-1.0,1076.2643099998186,5664549.0,False
5,LONG,2026-08-14T19:25:00Z,2026-08-14T19:25:00Z,2026-08-14T20:25:00Z,0.33284,0.33274,0.33285000000000003,0.33273,0.33312600000000003,0.33273,SL,-1.0,1065.5016000000799,8879180.0,False
5,LONG,2026-08-16T10:05:00Z,2026-08-16T10:05:00Z,2026-08-16T11:30:00Z,0.33117,0.33108,0.33118000000000003,0.33107000000000003,0.33143300000000003,0.33144,TP,2.3,1054.8466499999902,9589515.0,False
5,SHORT,2026-08-16T19:00:00Z,2026-08-16T19:00:00Z,2026-08-16T20:05:00Z,0.3319,0.33176,0.33175000000000004,0.33191000000000004,0.33138200000000007,0.33138,TP,2.3,1079.107999999956,6744425.0,False
5,SHORT,2026-08-16T22:00:00Z,2026-08-16T22:00:00Z,2026-08-16T22:00:00Z,0.33126,0.33122,0.33121,0.33127,0.331072,0.33107000000000003,TP,2.3,1103.9275800000828,18398793.0,False
